Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес,Найближча станція,Відстань до метро
"вул. Драгомирова, 18",3 кімнати,85 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"вул. Бульварно-Кудрявська, 15",3 кімнати,50 м²,37 453 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4528628, 'lng': 30.5027825}",Університет,2.249
"вул. Митрополита Василя Липківського, 37Г",2 кімнати,65 м²,37 453 грн,"Солом'янський,",Майдан Незалежності,"{'lat': 50.4303712, 'lng': 30.4758501}",Вокзальна,3.198
"бул. Лесі Українки, 8",2 кімнати,65 м²,37 453 грн,"Печерський,",,"{'lat': 50.4364836, 'lng': 30.5273173}",Кловська,1.094
"вул. Василя Тютюнника, 37/1",3 кімнати,120 м²,63 670 грн,"Печерський,","Палац ""Україна""","{'lat': 50.421121, 'lng': 30.5263204}",Палац Україна,0.663
"просп. Голосіївський, 60",4 кімнати,118 м²,86 142 грн,"Голосіївський,",,"{'lat': 50.401103, 'lng': 30.5120993}",Голосіївська,0.62
"вул. Івана Франка, 11",3 кімнати,145 м²,168 539 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4488899, 'lng': 30.5102852}",Золоті ворота,0.735
"вул. Ділова, 1/2",2 кімнати,50 м²,56 180 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"вул. Драгомирова, 18",3 кімнати,87 м²,59 925 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"вул. Драгомирова, 16",3 кімнати,115 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4106795, 'lng': 30.5455096}",Дружби народів,2.089
"вул. Драгомирова, 18",3 кімнати,87 м²,74 906 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"вул. Лютеранська, 7/10",2 кімнати,100 м²,112 360 грн,"Шевченківський,",Майдан Незалежності,"{'lat': 50.44592309999999, 'lng': 30.5239963}",Хрещатик,4.392
"вул. Євгена Маланюка, 101ш",4 кімнати,121 м²,74 906 грн,"Дніпровський,",,"{'lat': 50.45891899999999, 'lng': 30.585785}",Лівобережна,1.846
"вул. Інститутська, 18А",4 кімнати,200 м²,131 086 грн,"Шевченківський,",Хрещатик,"{'lat': 50.4452794, 'lng': 30.5316717}",Майдан Незалежності,1.719
"бул. Лесі Українки, 7Б",3 кімнати,92 м²,101 124 грн,"Печерський,",Печерська,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Глибочицька, 32",3 кімнати,123 м²,56 180 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4624229, 'lng': 30.4933058}",Лук'янівська,1.297
"вул. Драгомирова, 11",3 кімнати,120 м²,74 906 грн,"Шевченківський,",,"{'lat': 50.409347, 'lng': 30.5458778}",Дружби народів,2.883
"вул. Митрополита Василя Липківського, 38",2 кімнати,55 м²,31 086 грн,"Солом'янський,",Вокзальна,"{'lat': 50.432582, 'lng': 30.475023}",Вокзальна,2.99
"бул. Дружби Народів, 14-16",3 кімнати,85 м²,44 944 грн,"Печерський,",Дружби народів,"{'lat': 50.41403649999999, 'lng': 30.5394589}",Дружби народів,2.373
"вул. Коновальця Євгена, 34",3 кімнати,112 м²,37 453 грн,"Печерський,",,"{'lat': 50.4267967, 'lng': 30.5344145}",Печерська,0.509
"вул. Глибочицька, 13",2 кімнати,65 м²,44 944 грн,"Шевченківський,",Контрактова площа,"{'lat': 50.4618135, 'lng': 30.48904769999999}",Лук'янівська,0.564
"вул. Сергія Колоса, 2",2 кімнати,50 м²,41 198 грн,"Печерський,",Дружби народів,"{'lat': 50.3922962, 'lng': 30.4575819}",Виставковий центр,3.367
"просп. Голосіївський, 30Б",4 кімнати,168 м²,56 180 грн,"Голосіївський,",Деміївська,"{'lat': 50.4058645, 'lng': 30.5160392}",Деміївська,5.026
"вул. Драгомирова, 17",3 кімнати,125 м²,101 124 грн,"Печерський,",Дружби народів,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Предславинська, 42А",3 кімнати,91 м²,67 416 грн,,Либідська,"{'lat': 50.4156007, 'lng': 30.525237}",Либідська,1.211
"вул. Василя Тютюнника, 37/1",1 кімната,130 м²,93 633 грн,",",,"{'lat': 50.421121, 'lng': 30.5263204}",Палац Україна,0.663
"вул. Пушкінська, 21",4 кімнати,170 м²,131 086 грн,"Шевченківський,",Театральна,"{'lat': 50.443824, 'lng': 30.51796599999999}",Театральна,0.217
"вул. Коновальця Євгена, 34",3 кімнати,127 м²,56 180 грн,"Печерський,",Печерська,"{'lat': 50.4267967, 'lng': 30.5344145}",Печерська,0.509
"вул. Драгомирова, 18",2 кімнати,90 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"просп. Володимира Івасюка, 2Г",4 кімнати,163 м²,44 944 грн,"Печерський,",,"{'lat': 50.4907014, 'lng': 30.5265027}",Почайна,4.673
"вул. Ділова, 1/2",3 кімнати,103 м²,74 906 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"просп. Володимира Івасюка, 24",5 кімнат,270 м²,63 670 грн,"Оболонський,",Мінська,"{'lat': 50.5115776, 'lng': 30.5085657}",Мінська,1.15
"вул. Саперне Поле, 3",3 кімнати,136 м²,78 652 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}",Палац Україна,0.964
"вул. Глибочицька, 73-79",2 кімнати,50 м²,37 453 грн,"Шевченківський,",Контрактова площа,"{'lat': 50.4632151, 'lng': 30.5039694}",Контрактова площа,1.482
"узвіз Андріївський, 2Б",2 кімнати,80 м²,41 198 грн,"Подільський,",Поштова площа,"{'lat': 50.4621465, 'lng': 30.5174651}",Поштова площа,0.686
"вул. Тараса Шевченка, 27Б",4 кімнати,170 м²,56 180 грн,"Шевченківський,",Університет,"{'lat': 50.5087327, 'lng': 30.7674425}",Лісова,11.611
"вул. Маккейна Джона, 7",3 кімнати,75 м²,56 180 грн,"Печерський,",,"{'lat': 50.4159539, 'lng': 30.5306472}",Либідська,1.072
"просп. Володимира Івасюка, 6",3 кімнати,116 м²,48 689 грн,"Оболонський,",,"{'lat': 50.4944968, 'lng': 30.5225088}",Оболонь,2.803
"вул. Авіоконструктора Антонова, 2Б",1 кімната,102 м²,48 689 грн,"Шевченківський,",Вокзальна,"{'lat': 50.4301478, 'lng': 30.4635295}",Вокзальна,4.091
"вул. Богдана Хмельницького, 58А",3 кімнати,95 м²,67 416 грн,"Шевченківський,",Університет,"{'lat': 50.4480724, 'lng': 30.5054962}",Університет,1.152
"пров. Бехтерєвський, 14",3 кімнати,130 м²,59 925 грн,"Подільський,",Контрактова площа,"{'lat': 50.4584793, 'lng': 30.4969044}",Лук'янівська,1.425
"вул. Лесі Українки, 7Б",3 кімнати,136 м²,44 944 грн,"Печерський,",,"{'lat': 50.5173448, 'lng': 30.4411443}",Мінська,5.568
"вул. Саксаганського, 89",1 кімната,2 м²,37 453 грн,"Голосіївський,",,"{'lat': 50.439218, 'lng': 30.50169499999999}",Університет,1.275
"вул. Панаса Мирного, 14",3 кімнати,98 м²,37 453 грн,"Печерський,",Кловська,"{'lat': 50.4334654, 'lng': 30.5411952}",Печерська,1.194
"вул. Драгомирова, 20",4 кімнати,185 м²,104 869 грн,"Печерський,",Дружби народів,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Саксаганського, 37К",2 кімнати,67 м²,48 689 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4354538, 'lng': 30.5125045}",Олімпійська,0.671
"вул. Лютеранська, 21",3 кімнати,110 м²,44 944 грн,"Шевченківський,",Хрещатик,"{'lat': 50.4443452, 'lng': 30.52675649999999}",Майдан Незалежності,0.867
"просп. Бажана Миколи, 10",3 кімнати,118 м²,37 453 грн,"Дарницький,",Осокорки,"{'lat': 50.3950225, 'lng': 30.6191444}",Осокорки,3.338
"вул. Сергія Колоса, 2",2 кімнати,67 м²,37 453 грн,"Печерський,",,"{'lat': 50.3922962, 'lng': 30.4575819}",Виставковий центр,3.367
"вул. Саперне Поле, 5",2 кімнати,55 м²,41 198 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}",Палац Україна,1.119
"вул. Сергія Колоса, 2",2 кімнати,46 м²,74 906 грн,"Печерський,",,"{'lat': 50.3922962, 'lng': 30.4575819}",Виставковий центр,3.367
"вул. Юрія Іллєнка, 18Б",3 кімнати,126 м²,37 453 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.46657949999999, 'lng': 30.47665569999999}",Лук'янівська,1.087
"вул. Межигірська, 28",5 кімнат,172 м²,44 944 грн,"Подільський,",Контрактова площа,"{'lat': 50.4687017, 'lng': 30.51276259999999}",Контрактова площа,0.716
"вул. Саксаганського, 37К",2 кімнати,65 м²,37 453 грн,"Голосіївський,",Університет,"{'lat': 50.4354538, 'lng': 30.5125045}",Олімпійська,0.671
"Дмитрівська вулиця, 66А",3 кімнати,122 м²,44 944 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4530266, 'lng': 30.4889795}",Лук'янівська,1.095
"вул. Василя Тютюнника, 53",1 кімната,48 м²,37 453 грн,",",,"{'lat': 50.4168157, 'lng': 30.5288956}",Либідська,1.217
"вул. Драгомирова, 18",3 кімнати,84 м²,48 689 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"бул. Лесі Українки, 7Б",4 кімнати,160 м²,63 670 грн,"Печерський,",Кловська,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Михайла Грушевського, 9А",4 кімнати,237 м²,187 266 грн,"Печерський,",Арсенальна,"{'lat': 50.445428, 'lng': 30.543857}",Арсенальна,0.506
"вул. Авіоконструктора Антонова, 2Б",4 кімнати,185 м²,74 906 грн,"Солом'янський,",,"{'lat': 50.4301478, 'lng': 30.4635295}",Вокзальна,4.091
"вул. Тургенєвська, 44",4 кімнати,167 м²,112 360 грн,"Шевченківський,",Вокзальна,"{'lat': 50.4523333, 'lng': 30.4923014}",Лук'янівська,1.479
"вул. Драгомирова, 18",3 кімнати,87 м²,63 670 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"вул. Саперне Поле, 5",3 кімнати,80 м²,59 925 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}",Палац Україна,1.119
"узвіз Кловський, 7",3 кімнати,159 м²,74 906 грн,"Печерський,",Кловська,"{'lat': 50.4405345, 'lng': 30.5389159}",Арсенальна,1.903
"вул. Університетська, 17А",2 кімнати,73 м²,37 453 грн,"Солом'янський,",,"{'lat': 50.41652939999999, 'lng': 30.4859611}",Палац Україна,4.38
"вул. Буслівська, 12",4 кімнати,120 м²,89 888 грн,"Печерський,",Дружби народів,"{'lat': 50.4073727, 'lng': 30.5566101}",Дружби народів,2.618
"вул. Назарівська, 23",3 кімнати,146 м²,74 906 грн,"Голосіївський,",Дружби народів,"{'lat': 50.4438851, 'lng': 30.4991262}",Університет,1.422
"вул. Тверська, 2",5 кімнат,170 м²,37 453 грн,"Печерський,",,"{'lat': 50.4202939, 'lng': 30.52522059999999}",Палац Україна,0.45
"просп. Лобановського, 157г",3 кімнати,110 м²,39 775 грн,"Голосіївський,",,"{'lat': 50.407781, 'lng': 30.50219169999999}",Деміївська,4.274
"вул. Академика Філатова, 53",3 кімнати,80 м²,43 071 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}",Либідська,0.811
"вул. Ділова, 2",2 кімнати,85 м²,44 944 грн,"Печерський,",Олімпійська,"{'lat': 50.4300933, 'lng': 30.5216232}",Олімпійська,0.621
"вул. Богдана Хмельницького (Вигурівщина), 58А",3 кімнати,80 м²,63 670 грн,"Шевченківський,",Університет,"{'lat': 50.4465095, 'lng': 30.510173}",Золоті ворота,0.361
"пров. Лабораторний, 7",2 кімнати,70 м²,44 944 грн,"Печерський,",Печерська,"{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"вул. Саперне Поле, 3",2 кімнати,78 м²,74 906 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}",Палац Україна,0.964
"вул. Микільсько-Слобідська, 1/25",3 кімнати,80 м²,37 453 грн,"Печерський,",,"{'lat': 50.4543149, 'lng': 30.5930537}",Лівобережна,0.968
"вул. Коновальця Євгена, 26А",3 кімнати,135 м²,82 397 грн,"Печерський,",Печерська,"{'lat': 50.42695519999999, 'lng': 30.5307143}",Печерська,0.932
"Дмитриевская улица, 69",3 кімнати,105 м²,41 198 грн,"Шевченківський,",,"{'lat': 50.4548104, 'lng': 30.48681169999999}",Лук'янівська,0.866
"вул. Болсуновська, 2",3 кімнати,126 м²,71 161 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}",Дружби народів,1.647
"вул. Авіоконструктора Антонова, 2Б",3 кімнати,102 м²,48 689 грн,"Солом'янський,",,"{'lat': 50.4301478, 'lng': 30.4635295}",Вокзальна,4.091
"вул. Юрія Шумського, 3Г",4 кімнати,113 м²,37 903 грн,"Дніпровський,",,"{'lat': 50.4241723, 'lng': 30.6039173}",Гідропарк,6.926
"вул. Зарічна, 1",2 кімнати,65 м²,37 453 грн,"Дарницький,",,"{'lat': 50.3950654, 'lng': 30.6021594}",Славутич,2.055
"вул. Ділова, 1/2",2 кімнати,52 м²,56 180 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"вул. Павлівська, 26/41",3 кімнати,120 м²,44 944 грн,"Шевченківський,",Вокзальна,"{'lat': 50.4519736, 'lng': 30.4861119}",Лук'янівська,1.418
"вул. Саксаганського, 37К",1 кімната,65 м²,52 434 грн,"Печерський,",,"{'lat': 50.4354538, 'lng': 30.5125045}",Олімпійська,0.671
"вул. Саперно-Слобідська, 10",3 кімнати,106 м²,37 453 грн,"Голосіївський,",Деміївська,"{'lat': 50.4037954, 'lng': 30.53113249999999}",Деміївська,4.003
"вул. Саксаганського, 37К",1 кімната,65 м²,52 434 грн,"Печерський,",,"{'lat': 50.4354538, 'lng': 30.5125045}",Олімпійська,0.671
"вул. Патріса Лумумби, 11",3 кімнати,79 м²,48 689 грн,"Печерський,",,"{'lat': 50.4209277, 'lng': 30.5326337}",Палац Україна,1.065
"пл. Бессарабська, 5",3 кімнати,90 м²,56 180 грн,"Печерський,",Площа Льва Толстого,"{'lat': 50.4428514, 'lng': 30.5223082}",Театральна,0.701
"вул. Набережно-Рибальська, 3,9",2 кімнати,75 м²,37 453 грн,"Подільський,",,"{'lat': 50.4796944, 'lng': 30.5348749}",Контрактова площа,3.069
"вул. Льва Толстого, 11/61",5 кімнат,228 м²,93 633 грн,"Шевченківський,",Площа Льва Толстого,"{'lat': 50.439562, 'lng': 30.5115706}",Площа Льва Толстого,1.94
"вул. Олеся Гончара, 35",4 кімнати,180 м²,168 539 грн,"Шевченківський,",,"{'lat': 50.4510787, 'lng': 30.5074115}",Золоті ворота,1.166
"вул. Академика Філатова, 53",2 кімнати,133 м²,44 944 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}",Либідська,0.811
"вул. Сергія Колоса, 2",3 кімнати,85 м²,67 416 грн,"Печерський,",Дружби народів,"{'lat': 50.3922962, 'lng': 30.4575819}",Виставковий центр,3.367
"просп. Берестейський(Перемоги), 26А",3 кімнати,76 м²,37 453 грн,"Шевченківський,",Політехнічний інститут,"{'lat': 50.4518284, 'lng': 30.4675085}",Політехнічний інститут,1.296
"вул. Шовковична, 20",3 кімнати,100 м²,56 180 грн,",",,"{'lat': 50.4438153, 'lng': 30.5316605}",Майдан Незалежності,1.324
"вул. Драгомирова, 15А",4 кімнати,180 м²,149 813 грн,"Печерський,",Дружби народів,"{'lat': 50.4083814, 'lng': 30.54588439999999}",Дружби народів,2.971
"Драгомирова улица, 16",2 кімнати,113 м²,93 633 грн,",",,"{'lat': 50.4106795, 'lng': 30.5455096}",Дружби народів,2.089
"вул. Механізаторів, 2",4 кімнати,156 м²,41 198 грн,"Солом'янський,",,"{'lat': 50.51998829999999, 'lng': 30.8081022}",Лісова,14.984
"вул. Євгена Маланюка, 101ш",3 кімнати,100 м²,56 180 грн,"Дніпровський,",Лівобережна,"{'lat': 50.45891899999999, 'lng': 30.585785}",Лівобережна,1.846
"вул. Набережно-Рибальська, 3,9",3 кімнати,150 м²,67 416 грн,"Подільський,",,"{'lat': 50.4796944, 'lng': 30.5348749}",Контрактова площа,3.069
"вул. Лютеранська, 10А",4 кімнати,160 м²,112 360 грн,"Печерський,",Хрещатик,"{'lat': 50.44489919999999, 'lng': 30.5235361}",Хрещатик,4.484
"вул. Сергія Колоса, 7",2 кімнати,72 м²,74 906 грн,"Печерський,",,"{'lat': 50.39109269999999, 'lng': 30.4595945}",Виставковий центр,3.133
"узвіз Кловський, 7А",2 кімнати,85 м²,44 944 грн,"Печерський,",Арсенальна,"{'lat': 50.4389157, 'lng': 30.5395874}",Кловська,1.221
"вул. Олеся Гончара, 26",3 кімнати,134 м²,37 453 грн,"Шевченківський,",,"{'lat': 50.4515413, 'lng': 30.5067357}",Золоті ворота,1.184
"вул. Олеся Гончара, 26",3 кімнати,134 м²,37 453 грн,"Шевченківський,",,"{'lat': 50.4515413, 'lng': 30.5067357}",Золоті ворота,1.184
"узвіз Кудрявський, 3Б",1 кімната,86 м²,44 944 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4501, 'lng': 30.5234}",Васильківська,0.0
"вул. Микільсько-Слобідська, 1",3 кімнати,100 м²,56 180 грн,"Дніпровський,",,"{'lat': 50.4543149, 'lng': 30.5930537}",Лівобережна,0.968
"вул. Казимира Малевича, 89",3 кімнати,110 м²,48 689 грн,"Печерський,",,"{'lat': 50.4185122, 'lng': 30.5175455}",Палац Україна,0.994
"вул. Саперне Поле, 5",3 кімнати,136 м²,78 652 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4190988, 'lng': 30.53113699999999}",Палац Україна,1.119
"вул. Василя Тютюнника, 28А",2 кімнати,51 м²,44 944 грн,"Печерський,",Либідська,"{'lat': 50.4248926, 'lng': 30.5224754}",Палац Україна,1.13
"вул. Сергія Колоса, 2",2 кімнати,65 м²,37 453 грн,"Печерський,",Дружби народів,"{'lat': 50.3922962, 'lng': 30.4575819}",Виставковий центр,3.367
"Украинки Леси бульвар, 23",3 кімнати,146 м²,46 816 грн,"Печерський,",Кловська,"{'lat': 50.4239865, 'lng': 30.5435004}",Печерська,0.577
"вул. Зарічна, 1А",1 кімната,65 м²,37 453 грн,"Дарницький,",,"{'lat': 50.3955528, 'lng': 30.6016304}",Славутич,2.115
"просп. Оболонський, 26",2 кімнати,80 м²,56 180 грн,"Печерський,",,"{'lat': 50.48630439999999, 'lng': 30.4982291}",Почайна,2.945
"вул. Глибочицька, 32Б",5 кімнат,190 м²,97 378 грн,",",,"{'lat': 50.4621138, 'lng': 30.4941865}",Лук'янівська,1.336
"просп. Берестейський(Перемоги), 5В",2 кімнати,80 м²,48 689 грн,"Шевченківський,",Університет,"{'lat': 50.4465344, 'lng': 30.4866545}",Вокзальна,1.487
"вул. Академика Філатова, 53",3 кімнати,180 м²,131 086 грн,"Печерський,",,"{'lat': 50.41429, 'lng': 30.5324443}",Либідська,0.811
"вул. Ярославів Вал, 14В",3 кімнати,82 м²,74 906 грн,"Шевченківський,",Університет,"{'lat': 50.4503847, 'lng': 30.5116562}",Золоті ворота,0.75
"вул. Патріса Лумумби, 6",2 кімнати,80 м²,50 562 грн,"Печерський,",,"{'lat': 50.4205608, 'lng': 30.5304815}",Палац Україна,0.833
"вул. Глибочицька, 32А",3 кімнати,95 м²,52 434 грн,"Шевченківський,",,"{'lat': 50.4615354, 'lng': 30.4932619}",Лук'янівська,1.055
"вул. Набережно-Рибальська, 3,9",1 кімната,47 м²,37 453 грн,"Подільський,",Контрактова площа,"{'lat': 50.4796944, 'lng': 30.5348749}",Контрактова площа,3.069
"просп. Оболонський, 26",2 кімнати,60 м²,37 453 грн,"Оболонський,",Дніпро,"{'lat': 50.48630439999999, 'lng': 30.4982291}",Почайна,2.945
"вул. Шота Руставелі, 27",3 кімнати,103 м²,74 906 грн,"Печерський,",Палац спорту,"{'lat': 50.43762299999999, 'lng': 30.518688}",Палац спорту,0.353
"вул. Саксаганського, 37К",2 кімнати,65 м²,41 198 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4354538, 'lng': 30.5125045}",Олімпійська,0.671
"вул. Лейпцизька, 13",3 кімнати,90 м²,44 944 грн,"Печерський,",,"{'lat': 50.431294, 'lng': 30.5501859}",Печерська,1.332
"вул. Тараса Шевченка, 27Б",4 кімнати,170 м²,59 925 грн,"Шевченківський,",,"{'lat': 50.5087327, 'lng': 30.7674425}",Лісова,11.611
"вул. Маккейна Джона, 1",3 кімнати,82 м²,56 180 грн,"Печерський,",Либідська,"{'lat': 50.4139129, 'lng': 30.5264399}",Либідська,1.287
"вул. Круглоуніверситетська, 3-5",4 кімнати,180 м²,93 633 грн,"Печерський,",Площа Льва Толстого,"{'lat': 50.4432141, 'lng': 30.5231577}",Театральна,4.896
"вул. Коновальця Євгена, 32Г",3 кімнати,128 м²,39 326 грн,"Печерський,",Печерська,"{'lat': 50.4255759, 'lng': 30.5309483}",Печерська,1.162
"вул. Бульварно-Кудрявська, 17",2 кімнати,67 м²,44 944 грн,"Шевченківський,",,"{'lat': 50.4524415, 'lng': 30.5021616}",Університет,2.184
"вул. Маккейна Джона, 7",2 кімнати,50 м²,52 434 грн,"Печерський,",Либідська,"{'lat': 50.4159539, 'lng': 30.5306472}",Либідська,1.072
"вул. Коновальця Євгена, 32Б",3 кімнати,128 м²,37 453 грн,"Печерський,",Печерська,"{'lat': 50.4258396, 'lng': 30.5324957}",Печерська,1.17
"вул. Коновальця Євгена, 32Б",2 кімнати,87 м²,37 453 грн,"Печерський,",,"{'lat': 50.4258396, 'lng': 30.5324957}",Печерська,1.17
"вул. Горького, 44",3 кімнати,120 м²,149 813 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4336785, 'lng': 30.5131808}",Олімпійська,0.388
"вул. Предславинська, 42А",3 кімнати,80 м²,56 180 грн,,Либідська,"{'lat': 50.4156007, 'lng': 30.525237}",Либідська,1.211
"вул. Бульварно-Кудрявська, 15А",2 кімнати,67 м²,44 944 грн,"Шевченківський,",,"{'lat': 50.4528628, 'lng': 30.5027825}",Університет,2.249
"вул. Хорива, 39/41",3 кімнати,144 м²,48 689 грн,"Подільський,",Контрактова площа,"{'lat': 50.4693441, 'lng': 30.5179746}",Контрактова площа,0.759
"вул. Солом'янська, 20А",4 кімнати,125 м²,37 453 грн,"Солом'янський,",,"{'lat': 50.4228062, 'lng': 30.4793112}",Вокзальна,5.163
"вул. Василя Тютюнника, 5В",3 кімнати,120 м²,56 180 грн,"Печерський,",,"{'lat': 50.4296067, 'lng': 30.5228671}",Олімпійська,0.785
"вул. Професора Підвисоцького, 4В",3 кімнати,72 м²,63 670 грн,"Печерський,",Дружби народів,"{'lat': 50.4155174, 'lng': 30.5488401}",Дружби народів,2.533
"вул. Коновальця Євгена, 32Г",3 кімнати,128 м²,39 326 грн,"Печерський,",Печерська,"{'lat': 50.4255759, 'lng': 30.5309483}",Печерська,1.162
"вул. Митрополита Василя Липківського, 37Г",3 кімнати,80 м²,37 453 грн,"Солом'янський,",,"{'lat': 50.4303712, 'lng': 30.4758501}",Вокзальна,3.198
"вул. Заньковецької, 8",2 кімнати,75 м²,41 198 грн,"Печерський,",Хрещатик,"{'lat': 50.4467489, 'lng': 30.5245262}",Майдан Незалежності,0.52
"вул. Драгомирова, 3",3 кімнати,90 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4125937, 'lng': 30.5468869}",Дружби народів,1.822
"вул. Деміївська, 29",2 кімнати,62 м²,56 180 грн,"Голосіївський,",Деміївська,"{'lat': 50.4031856, 'lng': 30.5131022}",Деміївська,4.67
"вул. Шота Руставелі, 44",4 кімнати,230 м²,86 142 грн,"Печерський,",Палац спорту,"{'lat': 50.4352633, 'lng': 30.5180058}",Олімпійська,1.045
"вул. Сергія Колоса, 2",2 кімнати,67 м²,41 198 грн,"Печерський,",,"{'lat': 50.3922962, 'lng': 30.4575819}",Виставковий центр,3.367
"вул. Саперне Поле, 5",3 кімнати,136 м²,73 034 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}",Палац Україна,1.119
"вул. Василя Тютюнника, 28А",3 кімнати,117 м²,67 416 грн,"Печерський,",Печерська,"{'lat': 50.4248926, 'lng': 30.5224754}",Палац Україна,1.13
"вул. Драгомирова, 18",3 кімнати,151 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"узвіз Кловський, 7",2 кімнати,85 м²,44 944 грн,"Печерський,",Кловська,"{'lat': 50.4405345, 'lng': 30.5389159}",Арсенальна,1.903
"Украинки Леси бул, 7В",2 кімнати,86 м²,93 633 грн,"Печерський,",,"{'lat': 50.4346578, 'lng': 30.5312405}",Кловська,1.088
"вул. Звіринецька, 59",4 кімнати,180 м²,74 906 грн,"Печерський,",Видубичі,"{'lat': 50.40776959999999, 'lng': 30.5552412}",Дружби народів,2.587
"вул. Євгена Сверстюка, 6",2 кімнати,50 м²,37 453 грн,"Деснянський,",,"{'lat': 50.4467929, 'lng': 30.6035294}",Лівобережна,3.185
"вул. Жилянська, 59",3 кімнати,140 м²,44 944 грн,",",,"{'lat': 50.4377164, 'lng': 30.4996084}",Університет,1.559
"бул. Лесі Українки, 7Б",3 кімнати,130 м²,44 944 грн,"Печерський,",Печерська,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Павлівська, 26/41",3 кімнати,120 м²,41 198 грн,"Шевченківський,",Вокзальна,"{'lat': 50.4519736, 'lng': 30.4861119}",Лук'янівська,1.418
"пров. Лабораторний, 7",3 кімнати,76 м²,37 453 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"вул. Велика Житомирська, 29Б",3 кімнати,160 м²,82 397 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.45482699999999, 'lng': 30.510117}",Золоті ворота,1.457
"вул. Тараса Шевченка, 27Б",4 кімнати,170 м²,56 180 грн,"Шевченківський,",Університет,"{'lat': 50.5087327, 'lng': 30.7674425}",Лісова,11.611
"вул. Саперне Поле, 5",3 кімнати,80 м²,37 453 грн,"Печерський,",Лук'янівська,"{'lat': 50.4190988, 'lng': 30.53113699999999}",Палац Україна,1.119
"вул. Предславинська, 42А",3 кімнати,78 м²,56 180 грн,,Либідська,"{'lat': 50.4156007, 'lng': 30.525237}",Либідська,1.211
"пров. Лабораторний, 7",2 кімнати,76 м²,41 198 грн,"Печерський,",Кловська,"{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"вул. Сергія Колоса, 2",3 кімнати,85 м²,67 416 грн,"Печерський,",Дружби народів,"{'lat': 50.3922962, 'lng': 30.4575819}",Виставковий центр,3.367
"пров. Лабораторний, 7",2 кімнати,78 м²,74 906 грн,"Печерський,",Печерська,"{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"вул. Сергія Колоса, 2",3 кімнати,85 м²,67 416 грн,"Печерський,",Дружби народів,"{'lat': 50.3922962, 'lng': 30.4575819}",Виставковий центр,3.367
