Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро
"вул. Ломоносова, 73В",3 кімнати,120 м²,35 000 грн,"Голосіївський,",
"наб. Дніпровська, 14Б",3 кімнати,150 м²,104 869 грн,"Дарницький,",
"Анри Барбюса ул., 53",2 кімнати,80 м²,37 453 грн,"Печерський,",
"Голосеевский просп., 60",3 кімнати,84 м²,44 944 грн,"Голосіївський,",
"вул. Деміївська, 13",3 кімнати,95 м²,37 453 грн,"Голосіївський,",
"вул. Митрополита Василя Липківського, 38",1 кімната,50 м²,28 090 грн,"Солом'янський,",
"Липковского, 16А",3 кімнати,67 м²,28 090 грн,"Голосіївський,",
"вул. Саксаганського, 57Б",4 кімнати,120 м²,93 633 грн,"Голосіївський,",
"вул. Ділова, 1/2",2 кімнати,55 м²,37 453 грн,"Печерський,",
"просп. Петра Григоренка, 22/20",3 кімнати,100 м²,41 198 грн,"Дарницький,",
"вул. Предславинська, 55А",2 кімнати,52 м²,41 198 грн,"Печерський,",
"дорога Набережно-Рыбальская, 9",2 кімнати,50 м²,33 708 грн,"Оболонський,",
"вул. Ділова, 2Б",1 кімната,57 м²,29 963 грн,"Печерський,",
"вул. Ділова, 1/2",1 кімната,60 м²,37 453 грн,"Голосіївський,",
"вул. Вишгородська, 45",2 кімнати,80 м²,37 453 грн,"Оболонський,",
"вул. Василя Тютюнника, 37/1",3 кімнати,85 м²,44 944 грн,"Печерський,","Палац ""Україна"""
"вул. Велика Васильківська, 45",2 кімнати,48 м²,35 581 грн,"Печерський,",
"Бендукидзе Кахи ул., 2",2 кімнати,70 м²,28 090 грн,"Печерський,",
"вул. Юрія Іллєнка, 18Б",3 кімнати,120 м²,37 453 грн,"Шевченківський,",
"вул. Митрополита Василя Липківського, 38",2 кімнати,55 м²,37 453 грн,"Солом'янський,",
"спуск Кловский, 7",2 кімнати,80 м²,29 963 грн,"Печерський,",
"вул. Професора Підвисоцького, 2",2 кімнати,72 м²,74 906 грн,"Печерський,",Дружби народів
"Омельяновича-Павленко, 13",4 кімнати,147 м²,37 453 грн,"Печерський,",
"вул. Архітектора Городецького, 12",4 кімнати,200 м²,112 360 грн,"Печерський,",Хрещатик
"вул. Саперне Поле, 5",2 кімнати,60 м²,48 689 грн,"Печерський,",
"вул. Патріса Лумумби, 6/1",1 кімната,55 м²,37 453 грн,"Печерський,",
"вул. Деміївська, 62",1 кімната,63 м²,31 835 грн,"Голосіївський,",
"Златоустівська, 47-49",3 кімнати,100 м²,59 925 грн,"Печерський,",
"вул. Ковпака, 17",4 кімнати,138 м²,29 963 грн,"Печерський,",
"бул. Лесі Українки, 7Б",2 кімнати,86 м²,38 000 грн,"Печерський,",
"вул. Василя Тютюнника, 1/2",2 кімнати,50 м²,52 434 грн,"Печерський,",
"просп. Любомира Гузара, 11",2 кімнати,50 м²,28 090 грн,"Солом'янський,",
"вул. Хрещатик, 11",4 кімнати,200 м²,112 360 грн,"Печерський,",Хрещатик
"вул. Предславинська, 57",2 кімнати,50 м²,28 090 грн,"Голосіївський,",
"Евгения Коновальца ул., 32Б",3 кімнати,145 м²,29 963 грн,"Печерський,",
"Драгомирова ул., 3",2 кімнати,90 м²,45 000 грн,"Печерський,",
"вул. Василя Тютюнника, 37/1",2 кімнати,84 м²,52 434 грн,"Печерський,","Палац ""Україна"""
"вул. Салютна, 2",2 кімнати,56 м²,35 000 грн,"Подільський,",
"вул. Маккейна Джона, 7",3 кімнати,106 м²,67 416 грн,"Печерський,",
"вул. Патріса Лумумби, 11",2 кімнати,65 м²,37 453 грн,"Печерський,","Палац ""Україна"""
"Патриса Лумумбы ул., 6/1",2 кімнати,60 м²,37 453 грн,"Печерський,",
"вул. Деміївська, 62",2 кімнати,70 м²,56 180 грн,"Голосіївський,",
"спуск Андреевский, 3",3 кімнати,100 м²,37 453 грн,"Подільський,",Контрактова площа
"Драгомирова ул., 16",3 кімнати,115 м²,56 180 грн,"Печерський,",
"Бойчука Михаила, 41",2 кімнати,50 м²,29 963 грн,"Печерський,",Видубичі
"вул. Драгомирова, 14",4 кімнати,149 м²,37 453 грн,"Печерський,",Дружби народів
"вул. Юрія Шумського, 1",7 кімнат,161 м²,74 906 грн,"Дніпровський,",Дніпро
"вул. Драгомирова, 18",2 кімнати,63 м²,37 453 грн,"Печерський,",
"вул. Патріса Лумумби, 6/1",1 кімната,55 м²,37 453 грн,"Печерський,",
"вул. Драгомирова, 2А",3 кімнати,128 м²,37 453 грн,"Печерський,",
"вул. Ломоносова, 73-79",3 кімнати,120 м²,56 180 грн,"Голосіївський,",
"бул. Лесі Українки, 7В",1 кімната,55 м²,41 198 грн,"Печерський,",
"вул. Саксаганського, 37К",2 кімнати,67 м²,37 453 грн,"Голосіївський,",Олімпійська
"вул. Юрія Іллєнка, 18Б",3 кімнати,120 м²,37 453 грн,"Шевченківський,",
"вул. Деміївська, 62",2 кімнати,101 м²,74 906 грн,"Голосіївський,",
"Маккейна, 1Б",1 кімната,50 м²,37 453 грн,"Печерський,",
"вул. Михайла Бойчука, 41",2 кімнати,50 м²,29 963 грн,"Печерський,",
"вул. Академика Філатова, 53",3 кімнати,80 м²,41 198 грн,"Печерський,",
"вул. Саперне Поле, 14/55",1 кімната,50 м²,46 816 грн,"Печерський,",
"вул. Предславинська, 57",2 кімнати,80 м²,56 180 грн,"Голосіївський,",Дружби народів
"вул. Драгомирова, 16",2 кімнати,90 м²,44 944 грн,"Печерський,",
"Острожских Князей, 46/2",3 кімнати,125 м²,29 000 грн,"Печерський,",
"вул. Професора Підвисоцького, 4В",3 кімнати,72 м²,63 670 грн,"Печерський,",Дружби народів
"вул. Василя Тютюнника, 37/1",3 кімнати,128 м²,35 955 грн,"Печерський,",
"Евгения Коновальца, 44А",2 кімнати,66 м²,35 581 грн,"Печерський,",
"вул. Тургенєвська, 44",4 кімнати,174 м²,131 086 грн,"Шевченківський,",
"вул. Патріса Лумумби, 11",2 кімнати,78 м²,37 453 грн,"Печерський,",
"вул. Предславинська, 42",2 кімнати,63 м²,41 198 грн,"Печерський,",
"вул. Левка Лук'яненка, 21/19",2 кімнати,56 м²,31 835 грн,"Оболонський,",
"вул. Митрополита Василя Липківського, 16А",3 кімнати,67 м²,28 090 грн,"Солом'янський,",Вокзальна
"вул. Івана Мазепи, 14",2 кімнати,70 м²,37 453 грн,"Печерський,",
"вул. Василя Тютюнника, 37/1",3 кімнати,128 м²,35 955 грн,"Печерський,",
"вул. Євгена Маланюка, 101ш",3 кімнати,92 м²,36 500 грн,"Дніпровський,",
"вул. Юрія Іллєнка, 18Б",2 кімнати,125 м²,37 453 грн,"Шевченківський,",
"вул. Професора Підвисоцького, 4В",2 кімнати,50 м²,41 198 грн,"Печерський,",Дружби народів
"вул. Івана Гонти, 7",3 кімнати,124 м²,33 708 грн,"Шевченківський,",
"(Куренівка) Дмитрівська вулиця, 69",3 кімнати,132 м²,41 198 грн,"Шевченківський,",Лук'янівська
"вул. Василя Тютюнника, 37/1",3 кімнати,105 м²,33 708 грн,"Печерський,",
"вул. Генерала Шаповала, 2",3 кімнати,100 м²,44 944 грн,"Солом'янський,",Вокзальна
"вул. Бульварно-Кудрявська, 15",1 кімната,52 м²,30 000 грн,"Шевченківський,",
"пров. Лабораторний, 7",3 кімнати,80 м²,33 708 грн,"Печерський,",Олімпійська
"вул. Саксаганського, 2х",4 кімнати,120 м²,93 633 грн,"Печерський,",
"вул. Предславинська, 40",2 кімнати,84 м²,44 944 грн,"Голосіївський,",Либідська
"вул. Сергія Колоса, 2",1 кімната,55 м²,37 453 грн,"Печерський,",
"вул. Голосіївська, 13",3 кімнати,100 м²,42 000 грн,"Голосіївський,",Голосіївська
"вул. Левка Лук'яненка, 21/19",2 кімнати,56 м²,27 000 грн,"Оболонський,",
"вул. Глибочицька, 32Б",5 кімнат,190 м²,93 633 грн,"Подільський,",
"вул. Драгомирова, 18",1 кімната,40 м²,35 581 грн,"Печерський,",
"бул. Дружби Народів, 14-16",3 кімнати,153 м²,89 888 грн,"Печерський,",Дружби народів
"вул. Михайла Бойчука, 41",2 кімнати,55 м²,29 963 грн,"Печерський,",Печерська
"вул. Набережно-Рибальська, 9",2 кімнати,50 м²,33 708 грн,"Оболонський,",
"вул. Предславинська, 57",1 кімната,57 м²,33 708 грн,"Печерський,",
"Липковского, 16А",2 кімнати,72 м²,56 180 грн,"Солом'янський,",
"пл. Бессарабська, 5",3 кімнати,116 м²,112 360 грн,"Печерський,",
"Героев пр-т, 8",2 кімнати,90 м²,37 453 грн,"Оболонський,",Дніпро
"Анри Барбюса ул., 51/1",2 кімнати,54 м²,37 453 грн,"Печерський,",
"вул. Ділова, 2",2 кімнати,55 м²,33 708 грн,"Печерський,",
"просп. Берестейський(Перемоги), 5Б",3 кімнати,86 м²,35 581 грн,"Святошинський,",
"вул. Пирогова, 2",2 кімнати,58 м²,29 963 грн,"Шевченківський,",
"вул. Ахматової Анни, 13",3 кімнати,120 м²,28 090 грн,"Дарницький,",Позняки
"вул. Василя Тютюнника, 37/1",2 кімнати,95 м²,33 708 грн,"Печерський,",
"вул. Драгомирова, 17",2 кімнати,55 м²,29 963 грн,"Печерський,",
"вул. Михайла Бойчука, 41",2 кімнати,55 м²,29 963 грн,"Печерський,",Видубичі
"вул. Саксаганського, 37К",1 кімната,65 м²,48 689 грн,"Голосіївський,",Олімпійська
"Поле Саперное ул., 3",1 кімната,55 м²,56 180 грн,"Печерський,",
"вул. Василя Тютюнника, 37/1",3 кімнати,120 м²,56 180 грн,"Печерський,",
"вул. Коновальця Євгена, 32Г",6 кімнат,280 м²,74 906 грн,"Печерський,",Печерська
"вул. Маккейна Джона, 3А",1 кімната,51 м²,44 944 грн,"Печерський,",
"вул. Шота Руставелі, 44",4 кімнати,230 м²,86 142 грн,"Печерський,",Олімпійська
"пров. Лабораторний, 7",1 кімната,78 м²,67 416 грн,"Печерський,","Палац ""Україна"""
"просп. Голосіївський, 58А",2 кімнати,76 м²,48 689 грн,"Голосіївський,",
"вул. Маккейна Джона, 1Б",1 кімната,45 м²,44 944 грн,"Печерський,",
"пров. Лабораторний, 7",1 кімната,45 м²,48 689 грн,",",
"вул. Драгомирова, 16",3 кімнати,110 м²,67 416 грн,"Печерський,",Дружби народів
"вул. Коновальця Євгена, 32Б",3 кімнати,128 м²,37 453 грн,"Печерський,",
"вул. Драгомирова, 16",3 кімнати,92 м²,56 180 грн,"Печерський,",Дружби народів
"вул. Зарічна, 2\1",2 кімнати,70 м²,37 453 грн,"Дарницький,",
"вул. Драгомирова, 15",3 кімнати,90 м²,59 925 грн,"Печерський,",Дружби народів
"вул. Маккейна Джона, 26",1 кімната,55 м²,28 090 грн,"Печерський,",
"вул. Драгомирова, 16",3 кімнати,115 м²,56 180 грн,"Печерський,",Дружби народів
"Никольско-Слободская ул., 1",3 кімнати,100 м²,56 180 грн,"Дніпровський,",
"вул. Шота Руставелі, 44",2 кімнати,80 м²,33 708 грн,"Печерський,",Палац спорту
"вул. Лабораторна, 8",4 кімнати,170 м²,48 689 грн,"Печерський,",
"вул. Новоселицька, 10",2 кімнати,130 м²,74 906 грн,"Печерський,",Видубичі
"вул. Білоруська, 36А",4 кімнати,145 м²,52 434 грн,"Шевченківський,",Лук'янівська
"Евгения Коновальца, 34",1 кімната,55 м²,33 708 грн,"Печерський,",
"узвіз Кловський, 7А",2 кімнати,85 м²,44 944 грн,"Печерський,",Кловська
"Кудри, 7",3 кімнати,106 м²,74 906 грн,"Печерський,",
"наб. Дніпровська, 18",2 кімнати,65 м²,33 708 грн,"Дарницький,",
"вул. Лютеранська, 27-29",3 кімнати,100 м²,41 198 грн,"Печерський,",
"Бусловская ул., 12",2 кімнати,70 м²,52 434 грн,"Печерський,",
"Глубочицкая ул., 23В",2 кімнати,95 м²,56 180 грн,"Шевченківський,",
"вул. Драгомирова, 9",4 кімнати,120 м²,56 180 грн,"Печерський,",Дружби народів
"вул. Саперне Поле, 7",1 кімната,47 м²,29 963 грн,"Печерський,",
"Драгомирова ул., 20",2 кімнати,60 м²,29 963 грн,"Печерський,",
"вул. Практична, 2",2 кімнати,64 м²,34 000 грн,"Голосіївський,",
"вул. Павлівська, 26/41",3 кімнати,120 м²,28 090 грн,"Шевченківський,",Лук'янівська
"вул. Антоновича, 44",2 кімнати,47 м²,33 708 грн,"Голосіївський,",
"вул. Драгомирова, 20",3 кімнати,120 м²,54 307 грн,"Печерський,",
"вул. Василя Тютюнника, 51/1А",3 кімнати,80 м²,39 326 грн,"Печерський,",
"Липковского, 16А",3 кімнати,76 м²,30 000 грн,"Солом'янський,",
"вул. Академика Філатова, 53",3 кімнати,72 м²,41 198 грн,"Печерський,",
"вул. Ділова, 2",2 кімнати,55 м²,63 670 грн,"Печерський,",
"вул. Олеся Гончара, 35",3 кімнати,142 м²,93 633 грн,"Шевченківський,",Золоті ворота
"вул. Лейпцизька, 13",3 кімнати,199 м²,224 719 грн,"Печерський,",
"вул. Круглоуніверситетська, 3-5",3 кімнати,123 м²,74 906 грн,"Печерський,",Палац спорту
"вул. Костьольна, 10",2 кімнати,68 м²,29 963 грн,"Шевченківський,",Хрещатик
"узвіз Кловський, 7",1 кімната,73 м²,35 581 грн,"Печерський,",
"вул. Велика Васильківська, 43",3 кімнати,82 м²,29 963 грн,"Печерський,",
"вул. Солом'янська, 20А",4 кімнати,125 м²,56 180 грн,"Солом'янський,",Вокзальна
"вул. Патріса Лумумби, 11",2 кімнати,65 м²,37 453 грн,"Печерський,",Дружби народів
"пров. Лабораторний, 7",2 кімнати,70 м²,41 198 грн,"Печерський,",Печерська
"бул. Лесі Українки, 7А",2 кімнати,80 м²,46 816 грн,"Печерський,",Печерська
"вул. Болсуновська, 2",2 кімнати,90 м²,37 453 грн,"Печерський,",
"вул. Саксаганського, 37К",2 кімнати,64 м²,52 434 грн,"Печерський,",
"вул. Саперно-Слобідська, 10",3 кімнати,106 м²,37 453 грн,"Голосіївський,",Деміївська
"вул. Саксаганського, 37К",2 кімнати,64 м²,48 689 грн,"Голосіївський,",Олімпійська
"вул. Звіринецька, 59",3 кімнати,116 м²,33 708 грн,"Печерський,",Печерська
"вул. Новоселицька, 10",2 кімнати,88 м²,74 906 грн,"Печерський,",Видубичі
"вул. Гоголівська, 47",2 кімнати,60 м²,33 708 грн,"Шевченківський,",Лук'янівська
"вул. Кирило-Мефодіївська, 2",3 кімнати,100 м²,61 798 грн,"Шевченківський,",Політехнічний інститут
"вул. Бульварно-Кудрявська, 15",3 кімнати,50 м²,37 453 грн,"Шевченківський,",
"вул. Левка Лук'яненка, 21/3",3 кімнати,125 м²,31 835 грн,"Оболонський,",
"вул. Бульварно-Кудрявська, 15А",2 кімнати,43 м²,29 963 грн,"Шевченківський,",
"наб. Дніпровська, 14Б",1 кімната,60 м²,29 963 грн,"Дарницький,",
"вул. Коновальця Євгена, 32Г",3 кімнати,128 м²,39 326 грн,"Печерський,",Печерська
"Глубочицкая ул., 73",1 кімната,55 м²,52 434 грн,"Подільський,",
"вул. Драгомирова, 18",1 кімната,50 м²,29 963 грн,"Печерський,",Печерська
"Днепровская ул., 1",2 кімнати,83 м²,37 453 грн,"Дарницький,",
"наб. Дніпровська, 1Б",2 кімнати,83 м²,37 453 грн,"Дніпровський,",Лівобережна
"вул. Ділова, 1/2",1 кімната,55 м²,41 198 грн,"Печерський,",Олімпійська
"вул. Зарічна, 1А",2 кімнати,65 м²,37 453 грн,"Дарницький,",Осокорки
"Набережно-Рыбальская ул., 9",3 кімнати,150 м²,67 416 грн,"Подільський,",
"вул. Гоголівська, 47",2 кімнати,60 м²,37 453 грн,"Шевченківський,",
"Деловая ул., 2Б",2 кімнати,70 м²,44 944 грн,"Печерський,",
"Предславинская ул., 44",2 кімнати,48 м²,29 963 грн,"Печерський,",
"вул. Василя Тютюнника, 37/1",3 кімнати,135 м²,56 180 грн,"Печерський,",
вул. Велика Васильківська,2 кімнати,62 м²,30 000 грн,"Печерський,",Палац спорту
"Правды пр-т, 18/6",2 кімнати,69 м²,28 090 грн,"Подільський,",
"вул. Предславинська, 42А",2 кімнати,80 м²,56 180 грн,,Либідська
"Крещатик ул., 23",3 кімнати,75 м²,44 944 грн,"Шевченківський,",
вул. Професора Підвисоцького,1 кімната,46 м²,33 708 грн,"Печерський,",
"вул. Хрещатик, 21",1 кімната,84 м²,28 090 грн,"Шевченківський,",Хрещатик
"вул. Ділова, 1/2",2 кімнати,55 м²,29 963 грн,"Печерський,",
"бул. Тараса Шевченка, 11",3 кімнати,100 м²,56 180 грн,"Шевченківський,",Площа Льва Толстого
"Бойчука Михаила ул., 41",1 кімната,52 м²,28 090 грн,"Печерський,",
"Предславинская ул., 53",1 кімната,41 м²,41 198 грн,"Печерський,",
"вул. Григорія Сковороди, 6",2 кімнати,70 м²,33 708 грн,"Подільський,",
"вул. Василя Тютюнника, 37/1",2 кімнати,94 м²,56 180 грн,"Печерський,",
"просп. Берестейський(Перемоги), 5Б",1 кімната,45 м²,29 963 грн,"Шевченківський,",Вокзальна
"вул. Предславинська, 42",2 кімнати,45 м²,31 835 грн,"Печерський,",
"вул. Ділова, 1/2",1 кімната,45 м²,37 453 грн,"Печерський,","Палац ""Україна"""
"вул. Антоновича, 72",2 кімнати,60 м²,31 835 грн,"Голосіївський,",Либідська
"вул. Шота Руставелі, 44",1 кімната,47 м²,29 963 грн,"Голосіївський,",
"Патриса Лумумбы ул., 11",2 кімнати,51 м²,29 963 грн,"Печерський,",
"вул. Володимирська, 79",2 кімнати,100 м²,33 708 грн,"Шевченківський,",Площа Льва Толстого
"Предславинская ул., 53",3 кімнати,80 м²,56 180 грн,"Печерський,",
"вул. Предславинська, 42А",2 кімнати,50 м²,29 963 грн,,Печерська
"вул. Заньковецької, 5/2",2 кімнати,81 м²,48 689 грн,"Печерський,",
"Бойчука Михаила ул., 41",2 кімнати,56 м²,29 963 грн,"Печерський,",
"Деловая ул., 1/2",1 кімната,55 м²,48 652 грн,"Печерський,",
"вул. Драгомирова, 16",1 кімната,60 м²,29 963 грн,"Печерський,",
"Бойчука Михаила ул., 41",2 кімнати,55 м²,29 963 грн,"Печерський,",
"вул. Ділова, 1/2",2 кімнати,56 м²,56 180 грн,"Печерський,",Олімпійська
"Лабораторный пер., 7",2 кімнати,76 м²,56 180 грн,"Печерський,",
"Бендукидзе Кахи ул., 2А",2 кімнати,50 м²,29 963 грн,"Печерський,",
вул. Зарічна,1 кімната,51 м²,31 835 грн,"Дарницький,",
"інституцька, 18А",4 кімнати,200 м²,131 086 грн,"Шевченківський,",Хрещатик
"вул. Старонаводницька, 6Б",3 кімнати,130 м²,29 963 грн,"Печерський,",Печерська
"вул. Предславинська, 42А",2 кімнати,55 м²,37 453 грн,,
"вул. Деміївська, 62",3 кімнати,110 м²,33 708 грн,"Голосіївський,",Деміївська
"вул. Горького, 44",3 кімнати,101 м²,131 086 грн,"Голосіївський,",
"вул. Академика Філатова, 53",2 кімнати,80 м²,37 453 грн,"Печерський,",Либідська
"вул. Гоголівська, 14",2 кімнати,90 м²,41 198 грн,"Шевченківський,",Університет
"вул. Саперне Поле, 3",4 кімнати,127 м²,131 086 грн,"Печерський,",
"вул. Велика Житомирська, 27",3 кімнати,73 м²,56 180 грн,"Печерський,",
"Авиаконструктора Антонова, 2Б",4 кімнати,130 м²,50 000 грн,"Солом'янський,",
"вул. Предславинська, 40",4 кімнати,110 м²,74 906 грн,",",
"вул. Михайла Бойчука, 17",2 кімнати,75 м²,37 453 грн,"Печерський,",Дружби народів
"вул. Предславинська, 42А",3 кімнати,85 м²,56 180 грн,,
"вул. Заньковецької, 6",5 кімнат,200 м²,82 397 грн,"Печерський,",
"бул. Лесі Українки, 7Б",2 кімнати,86 м²,37 453 грн,"Печерський,",
"вул. Ділова, 1/2",2 кімнати,55 м²,56 180 грн,"Печерський,",Олімпійська
"вул. Шота Руставелі, 44",4 кімнати,230 м²,74 906 грн,"Печерський,",Тараса Шевченка
"вул. Старонаводницька, 13",4 кімнати,180 м²,74 906 грн,"Печерський,",
"вул. Предславинська, 44",2 кімнати,54 м²,33 708 грн,"Голосіївський,",Либідська
"вул. Предславинська, 42А",2 кімнати,63 м²,56 180 грн,"Печерський,",Либідська
"вул. Драгомирова, 18",3 кімнати,115 м²,93 633 грн,"Печерський,",
"вул. Драгомирова, 16",2 кімнати,87 м²,56 180 грн,"Печерський,",
"вул. Драгомирова, 18",1 кімната,40 м²,67 416 грн,"Печерський,",Дружби народів
"вул. Ділова, 1/2",2 кімнати,55 м²,56 180 грн,"Печерський,",Олімпійська
"вул. Бориса Грінченка, 2",3 кімнати,60 м²,33 708 грн,"Шевченківський,",Майдан Незалежності
"вул. Драгомирова, 18",3 кімнати,120 м²,93 633 грн,"Печерський,",
"вул. Драгомирова, 18",3 кімнати,140 м²,101 124 грн,"Печерський,",
"вул. Ділова, 1/2",2 кімнати,55 м²,56 180 грн,"Печерський,",
"вул. Коновальця Євгена, 26А",3 кімнати,110 м²,112 360 грн,"Печерський,",
"вул. Саперне Поле, 5",3 кімнати,150 м²,112 360 грн,"Печерський,",
"вул. Саперне Поле, 5",1 кімната,100 м²,59 925 грн,"Печерський,",
"вул. Предславинська, 42А",3 кімнати,115 м²,112 360 грн,,
"вул. Звіринецька, 59",4 кімнати,250 м²,74 906 грн,"Печерський,",
"вул. Коновальця Євгена, 26А",2 кімнати,100 м²,93 633 грн,"Печерський,",
"вул. Ольгинська, 5",3 кімнати,134 м²,157 480 грн,"Шевченківський,",
"вул. Академика Філатова, 53",3 кімнати,123 м²,97 378 грн,"Печерський,",
"вул. Предславинська, 42А",3 кімнати,85 м²,56 180 грн,,Либідська
"вул. Ділова, 1/2",3 кімнати,100 м²,112 360 грн,"Печерський,",
"вул. Саперне Поле, 5",4 кімнати,130 м²,138 577 грн,"Печерський,",
"вул. Драгомирова, 18",4 кімнати,180 м²,93 633 грн,"Печерський,",
"вул. Драгомирова, 18",4 кімнати,210 м²,224 719 грн,"Печерський,",
"вул. Маккейна Джона, 7",3 кімнати,130 м²,104 869 грн,"Печерський,",
"вул. Академика Філатова, 53",3 кімнати,123 м²,82 397 грн,"Печерський,",
"вул. Драгомирова, 18",3 кімнати,190 м²,187 266 грн,"Печерський,",
"вул. Драгомирова, 18",4 кімнати,180 м²,93 633 грн,"Печерський,",
"вул. Горького, 44",2 кімнати,101 м²,90 000 грн,"Голосіївський,","Палац ""Україна"""
"вул. Предславинська, 42А",3 кімнати,85 м²,56 180 грн,,"Палац ""Україна"""
"пров. Лабораторний, 7",2 кімнати,96 м²,224 719 грн,"Печерський,",
"вул. Драгомирова, 18",3 кімнати,160 м²,112 360 грн,"Печерський,",
"вул. Драгомирова, 18",3 кімнати,90 м²,63 670 грн,"Печерський,",
"вул. Ділова, 4",2 кімнати,85 м²,44 944 грн,"Печерський,",
"вул. Саперне Поле, 5А",2 кімнати,62 м²,56 180 грн,"Печерський,",
"вул. Ділова, 1/2",3 кімнати,109 м²,131 086 грн,"Печерський,",
"вул. Ділова, 1/2",1 кімната,55 м²,48 652 грн,"Печерський,",
"вул. Предславинська, 42А",3 кімнати,84 м²,63 670 грн,,Либідська
"вул. Коновальця Євгена, 26А",3 кімнати,138 м²,82 397 грн,"Печерський,",
"вул. Коновальця Євгена, 26А",3 кімнати,204 м²,123 595 грн,"Печерський,",
"бул. Тараса Шевченка, 27Б",5 кімнат,188 м²,56 180 грн,"Шевченківський,",
"вул. Заньковецької, 5/2",4 кімнати,150 м²,74 906 грн,"Шевченківський,",Майдан Незалежності
"вул. Антоновича, 23",3 кімнати,92 м²,63 670 грн,"Голосіївський,",Площа Льва Толстого
"вул. Предславинська, 42А",2 кімнати,56 м²,30 000 грн,,Либідська
"бул. Лесі Українки, 7В",2 кімнати,86 м²,93 633 грн,"Печерський,",
"вул. Вузівська, 5",3 кімнати,170 м²,44 944 грн,"Солом'янський,",
"вул. Василя Тютюнника, 28А",2 кімнати,50 м²,37 453 грн,"Печерський,","Палац ""Україна"""
"вул. Ділова, 4",5 кімнат,230 м²,93 633 грн,"Печерський,",Олімпійська
"вул. Січових Стрільців, 26А",2 кімнати,53 м²,44 944 грн,"Шевченківський,",
"вул. Тургенєвська, 22А",2 кімнати,145 м²,74 906 грн,"Шевченківський,",
"вул. Велика Житомирська, 1",2 кімнати,75 м²,63 670 грн,",",
"вул. Драгомирова, 18",2 кімнати,72 м²,44 944 грн,"Печерський,",Видубичі
"вул. Предславинська, 42А",2 кімнати,50 м²,41 198 грн,,
"вул. Академика Філатова, 53",2 кімнати,130 м²,56 180 грн,"Печерський,",
"вул. Лютеранська, 7/10",2 кімнати,100 м²,86 142 грн,"Печерський,",
"вул. Драгомирова, 15А",5 кімнат,190 м²,93 633 грн,"Печерський,",
"вул. Драгомирова, 18",4 кімнати,150 м²,74 906 грн,"Печерський,",Дружби народів
вул. Патріса Лумумби,4 кімнати,108 м²,78 652 грн,"Печерський,",Либідська
"вул. Драгомирова, 18",3 кімнати,120 м²,56 180 грн,"Печерський,",Дружби народів
"вул. Михайла Бойчука, 41-43",2 кімнати,67 м²,63 670 грн,"Печерський,",Видубичі
"вул. Драгомирова, 18",4 кімнати,150 м²,50 000 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 18",4 кімнати,160 м²,89 888 грн,"Печерський,",
"вул. Драгомирова, 2А",3 кімнати,100 м²,101 124 грн,"Печерський,",Дружби народів
"пл. Льва Толстого, 39",4 кімнати,250 м²,374 532 грн,"Голосіївський,",Площа Льва Толстого
"вул. Драгомирова, 3",3 кімнати,130 м²,56 180 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 16",4 кімнати,135 м²,74 906 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 7",3 кімнати,117 м²,48 689 грн,"Печерський,",Дружби народів
"вул. Лейпцизька, 13",3 кімнати,93 м²,48 689 грн,"Печерський,",Печерська
"вул. Драгомирова, 18А",4 кімнати,170 м²,142 322 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 16",4 кімнати,187 м²,112 360 грн,"Печерський,",Дружби народів
"наб. Дніпровська, 14Б",3 кімнати,140 м²,67 416 грн,"Дарницький,",Осокорки
"вул. Драгомирова, 16",3 кімнати,125 м²,112 360 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 3",3 кімнати,130 м²,56 180 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 18",4 кімнати,120 м²,56 180 грн,"Печерський,",
вул. Драгомирова,3 кімнати,120 м²,104 869 грн,"Печерський,",
"вул. Драгомирова, 18",4 кімнати,180 м²,112 360 грн,",",Дружби народів
"вул. Драгомирова, 18",3 кімнати,85 м²,82 397 грн,"Печерський,",Дружби народів
вул. Драгомирова,4 кімнати,118 м²,168 539 грн,"Печерський,",
"вул. Драгомирова, 1/20А",3 кімнати,87 м²,44 944 грн,"Печерський,",Дружби народів
"вул. Набережно-Рибальська, 9",1 кімната,91 м²,48 689 грн,"Подільський,",Контрактова площа
"вул. Полтавська, 10",2 кімнати,85 м²,26 217 грн,"Шевченківський,",
"наб. Оболонська, 1",3 кімнати,125 м²,56 180 грн,"Оболонський,",
"вул. Казимира Малевича, 89",3 кімнати,100 м²,41 198 грн,"Голосіївський,",Голосіївська
"вул. Предславинська, 56",2 кімнати,56 м²,26 217 грн,"Печерський,",Дружби народів
"вул. Василя Тютюнника, 51/2",3 кімнати,110 м²,56 180 грн,"Печерський,",
"вул. Академика Філатова, 53",2 кімнати,55 м²,26 217 грн,"Печерський,",Либідська
"вул. Професора Підвисоцького, 4в",2 кімнати,50 м²,31 835 грн,"Печерський,",
"вул. Авіоконструктора Антонова, 2б",3 кімнати,1303 м²,37 453 грн,"Солом'янський,",Вокзальна
"вул. Саперне Поле, 144/55",3 кімнати,100 м²,30 000 грн,"Печерський,",Либідська
