Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро
"Максимовича вулиця, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська
"вул. Максимовича, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська
"вул. Івана Миколайчука, 17/2",3 кімнати,62 м²,9 000 грн,"Дніпровський,",Лівобережна
"вул. Старонаводницька, 4",2 кімнати,100 м²,28 090 грн,"Печерський,",Печерська
"вул. Хрещатик, 25",2 кімнати,80 м²,56 180 грн,"Печерський,",Хрещатик
"Маккейна Джона вулиця, 23А",1 кімната,74 м²,31 835 грн,,Либідська
"вул. Михайла Бойчука, 37",2 кімнати,48 м²,9 999 грн,"Печерський,",Видубичі
"вул. Клавдіївська, 23/15",2 кімнати,55 м²,9 999 грн,"Святошинський,",Академмістечко
"пров. Приладний, 10Б",1 кімната,43 м²,10 500 грн,"Деснянський,",Академмістечко
"вул. Академіка Заболотного, 1А",2 кімнати,44 м²,21 000 грн,"Голосіївський,",Теремки
"вул. Рогнідинська, 1/13",5 кімнат,160 м²,35 500 грн,"Печерський,",Площа Льва Толстого
вул. Ревуцького,1 кімната,25 м²,8 000 грн,"Дарницький,",Харківська
"вул. Драгомирова, 17",3 кімнати,90 м²,59 925 грн,"Печерський,",
"вул. Тираспольська, 52",1 кімната,25 м²,12 000 грн,"Подільський,",Сирець
"вул. Авіоконструктора Антонова, 4",2 кімнати,43 м²,10 000 грн,"Солом'янський,",
"вул. Драгомирова, 15",1 кімната,50 м²,29 963 грн,"Печерський,",
"вул. Драгомирова, 9",4 кімнати,120 м²,93 633 грн,"Печерський,",
вул. Пушкінська,2 кімнати,60 м²,25 900 грн,"Шевченківський,",Театральна
вул. Пушкінська,2 кімнати,60 м²,25 900 грн,"Шевченківський,",Театральна
"вул. Шота Руставелі, 17",4 кімнати,154 м²,39 000 грн,"Печерський,",Палац спорту
"наб. Дніпровська, 1А",4 кімнати,148 м²,29 963 грн,"Дніпровський,",Дніпро
"вул. Сікорського, 6",1 кімната,25 м²,6 499 грн,"Шевченківський,",Берестейська
"вул. Солом'янська, 15А",3 кімнати,132 м²,48 689 грн,"Солом'янський,",Олімпійська
"вул. Зарічна, 2",2 кімнати,68 м²,48 689 грн,"Дарницький,",Славутич
просп. Володимира Івасюка,2 кімнати,53 м²,7 000 грн,"Оболонський,",
"вул. Саксаганського, 147/5",2 кімнати,70 м²,22 472 грн,"Шевченківський,",Вокзальна
"вул. Менделєєва, 19",2 кімнати,40 м²,23 000 грн,"Печерський,",Либідська
"вул. Менделєєва, 19",2 кімнати,40 м²,24 000 грн,"Печерський,",Либідська
"вул. Менделєєва, 19",2 кімнати,40 м²,23 000 грн,"Печерський,",Либідська
"вул. Драгомирова, 9",4 кімнати,115 м²,48 689 грн,"Печерський,",Дружби народів
"вул. Саперне Поле, 3",2 кімнати,94 м²,56 180 грн,"Печерський,",Либідська
"просп. Голосіївський, 60",2 кімнати,100 м²,37 453 грн,"Голосіївський,",Деміївська
"бул. Верховної Ради, 14А",1 кімната,28 м²,4 000 грн,"Дніпровський,",Дарниця
"вул. Алма-Атинська, 39В",2 кімнати,56 м²,8 500 грн,"Дніпровський,",Чернігівська
вул. Ірпінська,2 кімнати,72 м²,8 000 грн,"Святошинський,",Житомирська
"вул. Генерала Потапова, 4",1 кімната,32 м²,6 000 грн,"Святошинський,",
"вул. Велика Житомирська, 27",3 кімнати,73 м²,48 689 грн,"Шевченківський,",Золоті ворота
вул. Урлівська,1 кімната,47 м²,10 000 грн,"Дарницький,",Осокорки
"вул. Архітектора Городецького, 12/3",3 кімнати,80 м²,21 000 грн,"Печерський,",Хрещатик
"вул. Драгомирова, 15",1 кімната,60 м²,29 963 грн,"Печерський,",
"вул. Пожарського, 8",3 кімнати,62 м²,9 000 грн,"Дніпровський,",Дарниця
"Тверський туп., 5",2 кімнати,54 м²,28 090 грн,"Печерський,","Палац ""Україна"""
"просп. Берестейський(Перемоги), 71А",2 кімнати,55 м²,16 854 грн,"Святошинський,",Нивки
"вул. Драгомирова, 15",1 кімната,50 м²,29 963 грн,"Печерський,",Дружби народів
"вул. Юрія Кондратюка, 4Б",1 кімната,24 м²,8 000 грн,"Оболонський,",Мінська
"вул. Драгомирова, 11",2 кімнати,68 м²,56 180 грн,"Печерський,",
"вул. Драгомирова, 14А",1 кімната,55 м²,37 453 грн,"Печерський,",
"вул. Ващенка Григорія, 3",3 кімнати,90 м²,13 000 грн,"Дарницький,",Осокорки
"бул. Вацлава Гавела, 6",1 кімната,25 м²,12 000 грн,"Солом'янський,",Берестейська
"вул. Радунська, 11",1 кімната,40 м²,6 400 грн,"Деснянський,",
"просп. Миколи Бажана, 28В",1 кімната,40 м²,6 500 грн,"Дарницький,",Позняки
"вул. Антоновича, 74",2 кімнати,60 м²,56 180 грн,"Голосіївський,",Олімпійська
"вул. Січових Стрільців, 44А",3 кімнати,84 м²,59 925 грн,"Шевченківський,",Лук'янівська
"Харківське шосе, 19А",1 кімната,56 м²,6 999 грн,"Дніпровський,",Дарниця
"вул. Архітектора Вербицького, 8",1 кімната,35 м²,6 000 грн,"Дарницький,",Харківська
"вул. Дяченко (Бортничі), 20Б",2 кімнати,83 м²,9 500 грн,"Дарницький,",
"бул. Ярослава Гашека, 20",1 кімната,41 м²,8 500 грн,"Дніпровський,",Дарниця
"бул. Дружби Народів, 14-16",1 кімната,52 м²,22 472 грн,"Печерський,",Дружби народів
вул. Саперне Поле,3 кімнати,127 м²,93 633 грн,"Печерський,",
"вул. Драгомирова, 11",4 кімнати,130 м²,97 378 грн,"Печерський,",
"вул. Драгомирова, 17",3 кімнати,90 м²,56 180 грн,"Печерський,",
"вул. Драгомирова, 14А",1 кімната,55 м²,33 708 грн,"Печерський,",
"вул. Драгомирова, 14",4 кімнати,160 м²,67 416 грн,"Печерський,",
"вул. Драгомирова, 3",1 кімната,55 м²,22 472 грн,"Печерський,",
"вул. Драгомирова, 19Б",1 кімната,50 м²,33 708 грн,"Печерський,",
"вул. Драгомирова, 20",3 кімнати,115 м²,63 670 грн,"Печерський,",
"вул. Драгомирова, 20",2 кімнати,60 м²,33 708 грн,"Печерський,",
"вул. Драгомирова, 12",2 кімнати,85 м²,37 453 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 15Б",2 кімнати,60 м²,29 963 грн,"Печерський,",
"вул. Драгомирова, 7",2 кімнати,90 м²,63 670 грн,"Печерський,",
"вул. Драгомирова, 7",3 кімнати,85 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 2А",2 кімнати,105 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 17",2 кімнати,55 м²,33 708 грн,"Печерський,",
"вул. Драгомирова, 7",3 кімнати,87 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 15Б",2 кімнати,50 м²,29 963 грн,"Печерський,",
"вул. Драгомирова, 15",3 кімнати,140 м²,78 652 грн,"Печерський,",
"вул. Драгомирова, 17",3 кімнати,120 м²,82 397 грн,"Печерський,",
"вул. Драгомирова, 15",2 кімнати,60 м²,35 581 грн,"Печерський,",
"вул. Драгомирова, 12",3 кімнати,90 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 9",5 кімнат,240 м²,119 850 грн,"Печерський,",
"вул. Драгомирова, 3",2 кімнати,50 м²,28 090 грн,"Печерський,",
"вул. Драгомирова, 20",2 кімнати,90 м²,56 180 грн,"Печерський,",
"вул. Драгомирова, 17",3 кімнати,94 м²,123 595 грн,"Печерський,",
"вул. Драгомирова, 20",2 кімнати,55 м²,37 453 грн,"Печерський,",
"вул. Драгомирова, 20",2 кімнати,90 м²,52 434 грн,"Печерський,",
"вул. Драгомирова, 5",2 кімнати,90 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 15",2 кімнати,60 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 15",3 кімнати,120 м²,67 416 грн,"Печерський,",
"вул. Драгомирова, 16",2 кімнати,50 м²,24 345 грн,"Печерський,",
"вул. Драгомирова, 15",3 кімнати,90 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 5",2 кімнати,50 м²,18 727 грн,"Печерський,",
"вул. Драгомирова, 20",2 кімнати,120 м²,56 180 грн,"Печерський,",
"вул. Драгомирова, 14А",1 кімната,52 м²,37 453 грн,"Печерський,",
"вул. Драгомирова, 16",3 кімнати,85 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 5",3 кімнати,170 м²,82 397 грн,"Печерський,",
"вул. Кахи Бендукідзе, 2",2 кімнати,76 м²,44 944 грн,"Печерський,",
"вул. Воздвиженська, 50",3 кімнати,100 м²,37 453 грн,"Подільський,",Контрактова площа
"просп. Голосіївський, 60",2 кімнати,100 м²,37 453 грн,"Голосіївський,",Деміївська
"просп. Науки, 60А",2 кімнати,52 м²,12 000 грн,"Голосіївський,",Деміївська
"Краснозвездный просп., 12",2 кімнати,60 м²,11 000 грн,"Солом'янський,",Деміївська
"вул. Микільсько-Слобідська, 3А",2 кімнати,77 м²,23 000 грн,"Дніпровський,",Лівобережна
"вул. Ахматової Анни, 14Б",2 кімнати,60 м²,12 000 грн,"Дарницький,",Позняки
"вул. Рейтарська, 31/16",2 кімнати,47 м²,20 000 грн,"Шевченківський,",Золоті ворота
"вул. Ломоносова, 54",3 кімнати,110 м²,27 000 грн,"Голосіївський,",Виставковий центр
"вул. Антоновича, 164",2 кімнати,56 м²,11 000 грн,"Голосіївський,","Палац ""Україна"""
"вул. Чавдар Єлизавети, 8",2 кімнати,51 м²,14 000 грн,"Дарницький,",
"вул. Ахматової Анни, 31",3 кімнати,110 м²,15 000 грн,"Дарницький,",Позняки
"узвіз Кловський, 12",2 кімнати,45 м²,14 000 грн,"Печерський,",Кловська
"Ярослава Гашека бульвар, 20",1 кімната,41 м²,8 500 грн,"Дніпровський,",Лівобережна
"вул. Драгомирова, 11",4 кімнати,120 м²,67 416 грн,"Печерський,",
бул. Лесі Українки,3 кімнати,138 м²,26 217 грн,"Печерський,",
"вул. Хрещатик, 27",3 кімнати,86 м²,32 000 грн,"Печерський,",Майдан Незалежності
"вул. Жилянська, 68",2 кімнати,55 м²,29 963 грн,"Голосіївський,",Олімпійська
вул. Олени Теліги,3 кімнати,64 м²,14 000 грн,"Шевченківський,",Дорогожичі
"вул. Введенська, 4",4 кімнати,230 м²,112 360 грн,"Подільський,",Контрактова площа
"Левка Лукяненка, 21",3 кімнати,220 м²,41 198 грн,"Оболонський,",Мінська
"вул. Михайла Донця, 12",2 кімнати,31 м²,10 000 грн,"Солом'янський,",Шулявська
"вул. Драгомирова, 15",3 кімнати,140 м²,78 652 грн,"Печерський,",
"вул. Драгомирова, 9",5 кімнат,240 м²,119 850 грн,"Печерський,",
"вул. Драгомирова, 9",2 кімнати,68 м²,41 198 грн,"Печерський,",Дружби народів
"бул. Лесі Українки, 7А",2 кімнати,104 м²,33 708 грн,"Печерський,",Печерська
"пров. Нестеровський, 6",3 кімнати,130 м²,56 180 грн,"Шевченківський,",Золоті ворота
"вул. Бульварно-Кудрявська, 15А",1 кімната,55 м²,22 472 грн,"Шевченківський,",Театральна
"вул. Бульварно-Кудрявська, 15А",2 кімнати,55 м²,22 472 грн,"Шевченківський,",Золоті ворота
Тверський туп.,2 кімнати,54 м²,28 090 грн,"Печерський,",
"наб. Дніпровська, 1Б",4 кімнати,148 м²,29 963 грн,"Дніпровський,",
"вул. Введенська, 4",4 кімнати,230 м²,112 360 грн,"Подільський,",Поштова площа
"вул. Старонаводницька, 13",4 кімнати,170 м²,33 708 грн,"Печерський,",Печерська
"вул. Горького, 44",3 кімнати,100 м²,93 633 грн,"Голосіївський,",Олімпійська
вул. Бульварно-Кудрявська,2 кімнати,54 м²,29 963 грн,"Шевченківський,",
"вул. Предславинська, 53",1 кімната,59 м²,48 689 грн,"Печерський,",Либідська
"вул. Івана Виговського(Івана Виговського), 26",1 кімната,24 м²,5 800 грн,"Шевченківський,",Сирець
"вул. Ломоносова, 60/5",2 кімнати,87 м²,24 000 грн,"Голосіївський,",Виставковий центр
"просп. Лобановського, 18",3 кімнати,108 м²,14 500 грн,"Солом'янський,",
"вул. Коновальця Євгена, 32Б",3 кімнати,145 м²,35 000 грн,"Печерський,",Печерська
"вул. Зарічна, 2",2 кімнати,68 м²,48 689 грн,"Дарницький,",Славутич
"вул. Княжий Затон, 4",1 кімната,56 м²,9 000 грн,"Дарницький,",Позняки
вул. Юрія Шумського,4 кімнати,113 м²,44 944 грн,"Дніпровський,",
"вул. Митрополита Василя Липківського, 37В",3 кімнати,80 м²,29 963 грн,"Солом'янський,",Вокзальна
вул. Володимирська,2 кімнати,63 м²,18 727 грн,"Шевченківський,",
"пров. Нестеровський, 6",3 кімнати,130 м²,56 180 грн,"Шевченківський,",Золоті ворота
