Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес
"вул. Драгомирова, 2А",2 кімнати,105 м²,44 944 грн,"Печерський,",,"{'lat': 50.41358049999999, 'lng': 30.5445166}"
"вул. Драгомирова, 20",2 кімнати,60 м²,33 708 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 12",3 кімнати,135 м²,48 689 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}"
"вул. Драгомирова, 11",2 кімнати,68 м²,56 180 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Драгомирова, 15",3 кімнати,90 м²,59 925 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Саперне Поле, 3",3 кімнати,99 м²,93 633 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"вул. Драгомирова, 15",2 кімнати,60 м²,29 963 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 14",4 кімнати,160 м²,67 416 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Драгомирова, 12",5 кімнат,180 м²,78 652 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}"
"вул. Саперне Поле, 3",3 кімнати,94 м²,71 161 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"вул. Саперне Поле, 3",3 кімнати,92 м²,78 652 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"вул. Драгомирова, 12",3 кімнати,90 м²,44 944 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}"
"вул. Драгомирова, 11",3 кімнати,115 м²,74 906 грн,"Печерський,",Дружби народів,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Драгомирова, 20",3 кімнати,115 м²,63 670 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 15",3 кімнати,140 м²,78 652 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 11",4 кімнати,145 м²,93 633 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Драгомирова, 7",2 кімнати,90 м²,63 670 грн,"Печерський,",,"{'lat': 50.4109729, 'lng': 30.5465874}"
"вул. Драгомирова, 14А",1 кімната,55 м²,37 453 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Драгомирова, 17",3 кімнати,120 м²,82 397 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Патріса Лумумби, 6/1",2 кімнати,120 м²,67 416 грн,"Печерський,","Палац ""Україна""","{'lat': 50.42050210000001, 'lng': 30.5305674}"
"вул. Драгомирова, 17",1 кімната,60 м²,33 708 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Драгомирова, 17",3 кімнати,90 м²,48 689 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Драгомирова, 12",5 кімнат,180 м²,78 652 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}"
"вул. Драгомирова, 3",5 кімнат,250 м²,131 086 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}"
"вул. Драгомирова, 12",3 кімнати,90 м²,44 944 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}"
"вул. Драгомирова, 3",3 кімнати,130 м²,74 906 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}"
"вул. Драгомирова, 12",3 кімнати,135 м²,48 689 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}"
"вул. Драгомирова, 11",4 кімнати,145 м²,93 633 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}"
"Максимовича Михайла вулиця, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська,"{'lat': 50.3906335, 'lng': 30.4795959}"
"вул. Максимовича, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська,"{'lat': 50.3906335, 'lng': 30.4795959}"
"просп. Володимира Івасюка, 10А",5 кімнат,265 м²,74 906 грн,"Оболонський,",Оболонь,"{'lat': 50.4999139, 'lng': 30.5166294}"
"вул. Панаса Мирного, 12",4 кімнати,186 м²,41 198 грн,"Печерський,",Печерська,"{'lat': 50.4333991, 'lng': 30.5417311}"
"вул. Велика Васильківська, 29",2 кімнати,56 м²,26 217 грн,"Печерський,",Площа Льва Толстого,"{'lat': 50.4381701, 'lng': 30.5164187}"
просп. Володимира Івасюка,4 кімнати,200 м²,56 180 грн,"Оболонський,",Оболонь,"{'lat': 50.5055143, 'lng': 30.5101803}"
"вул. Михайлівська, 24Б",4 кімнати,200 м²,59 925 грн,"Шевченківський,",,"{'lat': 50.454226, 'lng': 30.522848}"
"вул. Хрещатик, 15",3 кімнати,130 м²,37 453 грн,"Печерський,",,"{'lat': 50.4476282, 'lng': 30.5256784}"
"вул. Предславинська, 42",3 кімнати,86 м²,56 180 грн,"Печерський,",Либідська,"{'lat': 50.4155115, 'lng': 30.5252012}"
"вул. Ревуцького, 40В",2 кімнати,72 м²,20 000 грн,"Дарницький,",Харківська,"{'lat': 50.4038131, 'lng': 30.6485654}"
"Максимовича вулиця, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська,"{'lat': 50.3906335, 'lng': 30.4795959}"
"вул. Максимовича, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська,"{'lat': 50.3906335, 'lng': 30.4795959}"
"вул. Івана Миколайчука, 17/2",3 кімнати,62 м²,9 000 грн,"Дніпровський,",Лівобережна,"{'lat': 50.434379, 'lng': 30.6091647}"
"вул. Старонаводницька, 4",2 кімнати,100 м²,28 090 грн,"Печерський,",Печерська,"{'lat': 50.42804779999999, 'lng': 30.544534}"
"вул. Хрещатик, 25",2 кімнати,80 м²,56 180 грн,"Печерський,",Хрещатик,"{'lat': 50.44446250000001, 'lng': 30.5227786}"
"Маккейна Джона вулиця, 23А",1 кімната,74 м²,31 835 грн,,Либідська,"{'lat': 50.4191673, 'lng': 30.538941}"
"вул. Михайла Бойчука, 37",2 кімнати,48 м²,9 999 грн,"Печерський,",Видубичі,"{'lat': 50.4073501, 'lng': 30.5526218}"
"вул. Клавдіївська, 23/15",2 кімнати,55 м²,9 999 грн,"Святошинський,",Академмістечко,"{'lat': 50.4777385, 'lng': 30.3448927}"
"пров. Приладний, 10Б",1 кімната,43 м²,10 500 грн,"Деснянський,",Академмістечко,"{'lat': 50.4733084, 'lng': 30.3643253}"
"вул. Академіка Заболотного, 1А",2 кімнати,44 м²,21 000 грн,"Голосіївський,",Теремки,"{'lat': 50.3709417, 'lng': 30.4608937}"
"вул. Рогнідинська, 1/13",5 кімнат,160 м²,35 500 грн,"Печерський,",Площа Льва Толстого,"{'lat': 50.43993, 'lng': 30.519892}"
вул. Ревуцького,1 кімната,25 м²,8 000 грн,"Дарницький,",Харківська,"{'lat': 50.4092216, 'lng': 30.647413}"
"вул. Драгомирова, 17",3 кімнати,90 м²,59 925 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Тираспольська, 52",1 кімната,25 м²,12 000 грн,"Подільський,",Сирець,"{'lat': 50.4811828, 'lng': 30.4261243}"
"вул. Авіоконструктора Антонова, 4",2 кімнати,43 м²,10 000 грн,"Солом'янський,",,"{'lat': 50.4312475, 'lng': 30.4590356}"
"вул. Драгомирова, 15",1 кімната,50 м²,29 963 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 9",4 кімнати,120 м²,93 633 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}"
вул. Пушкінська,2 кімнати,60 м²,25 900 грн,"Шевченківський,",Театральна,"{'lat': 50.4437775, 'lng': 30.5175565}"
вул. Пушкінська,2 кімнати,60 м²,25 900 грн,"Шевченківський,",Театральна,"{'lat': 50.4437775, 'lng': 30.5175565}"
"вул. Шота Руставелі, 17",4 кімнати,154 м²,39 000 грн,"Печерський,",Палац спорту,"{'lat': 50.4385825, 'lng': 30.5197599}"
"наб. Дніпровська, 1А",4 кімнати,148 м²,29 963 грн,"Дніпровський,",Дніпро,"{'lat': 50.4287798, 'lng': 30.5945635}"
"вул. Сікорського, 6",1 кімната,25 м²,6 499 грн,"Шевченківський,",Берестейська,"{'lat': 50.4650983, 'lng': 30.4290592}"
"вул. Солом'янська, 15А",3 кімнати,132 м²,48 689 грн,"Солом'янський,",Олімпійська,"{'lat': 50.424757, 'lng': 30.4783093}"
"вул. Зарічна, 2",2 кімнати,68 м²,48 689 грн,"Дарницький,",Славутич,"{'lat': 50.3958164, 'lng': 30.6057436}"
просп. Володимира Івасюка,2 кімнати,53 м²,7 000 грн,"Оболонський,",,"{'lat': 50.5055143, 'lng': 30.5101803}"
"вул. Саксаганського, 147/5",2 кімнати,70 м²,22 472 грн,"Шевченківський,",Вокзальна,"{'lat': 50.4457015, 'lng': 30.4945375}"
"вул. Менделєєва, 19",2 кімнати,40 м²,23 000 грн,"Печерський,",Либідська,"{'lat': 50.4106295, 'lng': 30.5359716}"
"вул. Менделєєва, 19",2 кімнати,40 м²,24 000 грн,"Печерський,",Либідська,"{'lat': 50.4106295, 'lng': 30.5359716}"
"вул. Менделєєва, 19",2 кімнати,40 м²,23 000 грн,"Печерський,",Либідська,"{'lat': 50.4106295, 'lng': 30.5359716}"
"вул. Драгомирова, 9",4 кімнати,115 м²,48 689 грн,"Печерський,",Дружби народів,"{'lat': 50.4101218, 'lng': 30.5465873}"
"вул. Саперне Поле, 3",2 кімнати,94 м²,56 180 грн,"Печерський,",Либідська,"{'lat': 50.4193434, 'lng': 30.530259}"
"просп. Голосіївський, 60",2 кімнати,100 м²,37 453 грн,"Голосіївський,",Деміївська,"{'lat': 50.401103, 'lng': 30.5120993}"
"бул. Верховної Ради, 14А",1 кімната,28 м²,4 000 грн,"Дніпровський,",Дарниця,"{'lat': 50.44748, 'lng': 30.6190962}"
"вул. Алма-Атинська, 39В",2 кімнати,56 м²,8 500 грн,"Дніпровський,",Чернігівська,"{'lat': 50.4437834, 'lng': 30.6620309}"
вул. Ірпінська,2 кімнати,72 м²,8 000 грн,"Святошинський,",Житомирська,"{'lat': 50.4599864, 'lng': 30.3509971}"
"вул. Генерала Потапова, 4",1 кімната,32 м²,6 000 грн,"Святошинський,",,"{'lat': 50.4230877, 'lng': 30.3852569}"
"вул. Велика Житомирська, 27",3 кімнати,73 м²,48 689 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4551969, 'lng': 30.5108248}"
вул. Урлівська,1 кімната,47 м²,10 000 грн,"Дарницький,",Осокорки,"{'lat': 50.4085597, 'lng': 30.6191577}"
"вул. Архітектора Городецького, 12/3",3 кімнати,80 м²,21 000 грн,"Печерський,",Хрещатик,"{'lat': 50.44641799999999, 'lng': 30.526899}"
"вул. Драгомирова, 15",1 кімната,60 м²,29 963 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Пожарського, 8",3 кімнати,62 м²,9 000 грн,"Дніпровський,",Дарниця,"{'lat': 50.45381769999999, 'lng': 30.6230362}"
"Тверський туп., 5",2 кімнати,54 м²,28 090 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4230107, 'lng': 30.5314246}"
"просп. Берестейський(Перемоги), 71А",2 кімнати,55 м²,16 854 грн,"Святошинський,",Нивки,"{'lat': 50.45709000000001, 'lng': 30.401872}"
"вул. Драгомирова, 15",1 кімната,50 м²,29 963 грн,"Печерський,",Дружби народів,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Юрія Кондратюка, 4Б",1 кімната,24 м²,8 000 грн,"Оболонський,",Мінська,"{'lat': 50.524074, 'lng': 30.456631}"
"вул. Драгомирова, 11",2 кімнати,68 м²,56 180 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Драгомирова, 14А",1 кімната,55 м²,37 453 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Ващенка Григорія, 3",3 кімнати,90 м²,13 000 грн,"Дарницький,",Осокорки,"{'lat': 50.3898557, 'lng': 30.6229564}"
"бул. Вацлава Гавела, 6",1 кімната,25 м²,12 000 грн,"Солом'янський,",Берестейська,"{'lat': 50.4474224, 'lng': 30.4213211}"
"вул. Радунська, 11",1 кімната,40 м²,6 400 грн,"Деснянський,",,"{'lat': 50.5303378, 'lng': 30.5988755}"
"просп. Миколи Бажана, 28В",1 кімната,40 м²,6 500 грн,"Дарницький,",Позняки,"{'lat': 50.3968819, 'lng': 30.6464357}"
"вул. Антоновича, 74",2 кімнати,60 м²,56 180 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4261288, 'lng': 30.5140672}"
"вул. Січових Стрільців, 44А",3 кімнати,84 м²,59 925 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4570252, 'lng': 30.494237}"
"Харківське шосе, 19А",1 кімната,56 м²,6 999 грн,"Дніпровський,",Дарниця,"{'lat': 50.431374, 'lng': 30.6342639}"
"вул. Архітектора Вербицького, 8",1 кімната,35 м²,6 000 грн,"Дарницький,",Харківська,"{'lat': 50.41134, 'lng': 30.650886}"
"вул. Дяченко (Бортничі), 20Б",2 кімнати,83 м²,9 500 грн,"Дарницький,",,"{'lat': 50.375263, 'lng': 30.6944309}"
"бул. Ярослава Гашека, 20",1 кімната,41 м²,8 500 грн,"Дніпровський,",Дарниця,"{'lat': 50.4379019, 'lng': 30.6342601}"
"бул. Дружби Народів, 14-16",1 кімната,52 м²,22 472 грн,"Печерський,",Дружби народів,"{'lat': 50.41403649999999, 'lng': 30.5394589}"
вул. Саперне Поле,3 кімнати,127 м²,93 633 грн,"Печерський,",,"{'lat': 50.4189883, 'lng': 30.5296527}"
"вул. Драгомирова, 11",4 кімнати,130 м²,97 378 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Драгомирова, 17",3 кімнати,90 м²,56 180 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Драгомирова, 14А",1 кімната,55 м²,33 708 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Драгомирова, 14",4 кімнати,160 м²,67 416 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Драгомирова, 3",1 кімната,55 м²,22 472 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}"
"вул. Драгомирова, 19Б",1 кімната,50 м²,33 708 грн,"Печерський,",,"{'lat': 50.4071587, 'lng': 30.5436262}"
"вул. Драгомирова, 20",3 кімнати,115 м²,63 670 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 20",2 кімнати,60 м²,33 708 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 12",2 кімнати,85 м²,37 453 грн,"Печерський,",Дружби народів,"{'lat': 50.4127924, 'lng': 30.5455874}"
"вул. Драгомирова, 15Б",2 кімнати,60 м²,29 963 грн,"Печерський,",,"{'lat': 50.4081006, 'lng': 30.5449295}"
