Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес
"вул. Драгомирова, 11",3 кімнати,118 м²,74 906 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}"
"Маккейна Джона, 7",3 кімнати,130 м²,104 869 грн,"Печерський,",Дружби народів,"{'lat': 50.4159539, 'lng': 30.5306472}"
"вул. Маккейна Джона, 7",2 кімнати,45 м²,48 689 грн,"Печерський,",,"{'lat': 50.4159539, 'lng': 30.5306472}"
"вул. Мічуріна, 52",5 кімнат,302 м²,486 891 грн,"Печерський,",,"{'lat': 50.4217932, 'lng': 30.5623114}"
"вул. Лисенка, 1",3 кімнати,81 м²,67 416 грн,"Шевченківський,",,"{'lat': 50.4483694, 'lng': 30.5124686}"
"вул. Гусовського, 15",2 кімнати,100 м²,74 906 грн,"Печерський,",,"{'lat': 50.433738, 'lng': 30.5409456}"
"вул. Коновальця Євгена, 32Г",6 кімнат,280 м²,74 906 грн,"Печерський,",,"{'lat': 50.4255759, 'lng': 30.5309483}"
"Саксаганского ул., 65",2 кімнати,80 м²,56 180 грн,"Голосіївський,",Голосіївська,"{'lat': 50.43643669999999, 'lng': 30.5056475}"
"Богдана Хмельницкого ул., 58А",3 кімнати,114 м²,93 633 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4480724, 'lng': 30.5054962}"
"Болсуновская, 2",3 кімнати,126 м²,71 161 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}"
"вул. Драгомирова, 18А",4 кімнати,170 м²,149 813 грн,"Печерський,",Печерська,"{'lat': 50.4101353, 'lng': 30.5445326}"
"Маккейна Джона, 1",3 кімнати,120 м²,123 595 грн,"Голосіївський,",,"{'lat': 50.4139129, 'lng': 30.5264399}"
"вул. Лейпцизька, 13",4 кімнати,160 м²,131 086 грн,"Печерський,",Печерська,"{'lat': 50.431294, 'lng': 30.5501859}"
"вул. Драгомирова, 5",4 кімнати,160 м²,74 906 грн,"Печерський,",,"{'lat': 50.4118674, 'lng': 30.546937}"
"вул. Лейпцизька, 1",3 кімнати,93 м²,48 689 грн,"Печерський,",Печерська,"{'lat': 50.4344121, 'lng': 30.547681}"
"димеевская, 29",3 кімнати,153 м²,157 303 грн,"Голосіївський,",,"{'lat': 50.4031856, 'lng': 30.5131022}"
"вул. Саперне Поле, 3",4 кімнати,127 м²,138 577 грн,"Печерський,",Печерська,"{'lat': 50.4193434, 'lng': 30.530259}"
"Лабораторный пер., 7",2 кімнати,55 м²,56 180 грн,"Печерський,",Печерська,"{'lat': 50.42786419999999, 'lng': 30.5252742}"
"вул. Антоновича, 131",4 кімнати,220 м²,86 142 грн,"Голосіївський,",,"{'lat': 50.4182807, 'lng': 30.5201892}"
"вул. Драгомирова, 15А",2 кімнати,91 м²,59 925 грн,"Печерський,",,"{'lat': 50.4083814, 'lng': 30.54588439999999}"
"Липковского Василия, 16Б",3 кімнати,77 м²,48 689 грн,"Солом'янський,",,"{'lat': 50.4359328, 'lng': 30.4879115}"
"Федорова, 2А",3 кімнати,75 м²,63 670 грн,"Печерський,",,"{'lat': 50.4288476, 'lng': 30.5199561}"
"вул. Василя Тютюнника, 37",2 кімнати,94 м²,56 180 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4215238, 'lng': 30.5256592}"
"Предславинская ул., 57",3 кімнати,85 м²,56 180 грн,"Печерський,",,"{'lat': 50.4152701, 'lng': 30.5273529}"
"Багговутовская ул., 1В",4 кімнати,160 м²,74 906 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.47238189999999, 'lng': 30.4712457}"
"вул. Зарічна, 1Б",3 кімнати,125 м²,56 180 грн,"Дарницький,",,"{'lat': 50.3959509, 'lng': 30.5996472}"
"Предславинская ул., 1",3 кімнати,80 м²,48 689 грн,"Печерський,",Печерська,"{'lat': 50.4274723, 'lng': 30.5192099}"
"Антоновича ул., 44",3 кімнати,101 м²,131 086 грн,"Голосіївський,",,"{'lat': 50.4336785, 'lng': 30.5131808}"
"вул. Драгомирова, 1",3 кімнати,120 м²,56 180 грн,"Печерський,",,"{'lat': 50.4133862, 'lng': 30.5466086}"
"бул. Лесі Українки, 7Б",4 кімнати,160 м²,74 906 грн,"Печерський,",Кловська,"{'lat': 50.43268639999999, 'lng': 30.5334457}"
"бул. Дружби Народів, 14-16",3 кімнати,153 м²,89 888 грн,"Печерський,",,"{'lat': 50.41403649999999, 'lng': 30.5394589}"
"вул. Саперне Поле, 14/55",3 кімнати,72 м²,41 198 грн,"Печерський,",,"{'lat': 50.4194238, 'lng': 30.5304307}"
"вул. Саксаганського, 37К",2 кімнати,70 м²,56 180 грн,"Голосіївський,",,"{'lat': 50.4354538, 'lng': 30.5125045}"
"вул. Саксаганського, 37К",3 кімнати,144 м²,187 266 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4354538, 'lng': 30.5125045}"
"вул. Інститутська, 18А",4 кімнати,210 м²,123 595 грн,"Печерський,",,"{'lat': 50.4452794, 'lng': 30.5316717}"
"Драгомирова вулиця, 17",3 кімнати,86 м²,74 906 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"Липковского, 38",2 кімнати,55 м²,37 453 грн,"Солом'янський,",,"{'lat': 50.432582, 'lng': 30.475023}"
"бул. Лесі Українки, 7Б",3 кімнати,136 м²,41 198 грн,"Печерський,",,"{'lat': 50.43268639999999, 'lng': 30.5334457}"
"пл. Бессарабська, 5",3 кімнати,90 м²,56 180 грн,"Печерський,",,"{'lat': 50.4428514, 'lng': 30.5223082}"
"Кудрі) (Івана Джона Маккейна вулиця, 3А",2 кімнати,82 м²,52 434 грн,"Голосіївський,","Палац ""Україна""","{'lat': 50.4147002, 'lng': 30.5275287}"
"вул. Кирило-Мефодіївська, 2",3 кімнати,100 м²,65 543 грн,"Шевченківський,",,"{'lat': 50.4524379, 'lng': 30.4737407}"
"вул. Драгомирова, 17",4 кімнати,155 м²,131 086 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Драгомирова, 9",4 кімнати,120 м²,56 180 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}"
"Липковского, 38",2 кімнати,50 м²,28 090 грн,"Солом'янський,",,"{'lat': 50.432582, 'lng': 30.475023}"
"вул. Драгомирова, 12",5 кімнат,250 м²,104 869 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}"
"Антоновича вулиця, 109",1 кімната,51 м²,37 453 грн,"Печерський,",,"{'lat': 50.4228775, 'lng': 30.5171182}"
"вул. Саперне Поле, 5",3 кімнати,76 м²,33 708 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Академика Філатова, 12",2 кімнати,54 м²,29 963 грн,"Печерський,",,"{'lat': 50.4151701, 'lng': 30.531702}"
"вул. Ділова, 1/2",2 кімнати,55 м²,37 453 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}"
"Кудри, 26",3 кімнати,86 м²,44 944 грн,"Печерський,",,"{'lat': 50.4184533, 'lng': 30.5392407}"
"вул. Драгомирова, 18",3 кімнати,115 м²,59 925 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
вул. Дарвіна,4 кімнати,120 м²,41 198 грн,"Печерський,",Палац спорту,"{'lat': 50.4413538, 'lng': 30.5256909}"
"вул. Деміївська, 62",2 кімнати,65 м²,37 453 грн,"Голосіївський,",Голосіївська,"{'lat': 50.3987853, 'lng': 30.4995792}"
"вул. Драгомирова, 17",3 кімнати,90 м²,52 434 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Набережно-Рибальська, 3,9",2 кімнати,74 м²,44 944 грн,"Подільський,",Дніпро,"{'lat': 50.4796944, 'lng': 30.5348749}"
"пров. Лабораторний, 7",2 кімнати,70 м²,41 198 грн,"Печерський,",Васильківська,"{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Ділова, 1/2",2 кімнати,55 м²,44 944 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Вишгородська, 45",3 кімнати,98 м²,37 453 грн,"Подільський,",Оболонь,"{'lat': 50.5092294, 'lng': 30.449243}"
"вул. Ольгинська, 5",3 кімнати,134 м²,112 360 грн,"Шевченківський,",,"{'lat': 50.4474743, 'lng': 30.5281276}"
"вул. Митрополита Василя Липківського, 16А",4 кімнати,100 м²,37 453 грн,"Солом'янський,",Вокзальна,"{'lat': 50.4359328, 'lng': 30.4879116}"
"вул. Предславинська, 53",3 кімнати,83 м²,52 434 грн,,Дружби народів,"{'lat': 50.4163373, 'lng': 30.5264989}"
"Франка Івана вулиця, 11",4 кімнати,200 м²,168 539 грн,"Шевченківський,",,"{'lat': 50.3568802, 'lng': 30.6868942}"
"вул. Драгомирова, 9",4 кімнати,120 м²,60 000 грн,"Печерський,",Дружби народів,"{'lat': 50.4101218, 'lng': 30.5465873}"
"просп. Берестейський(Перемоги), 26",2 кімнати,77 м²,37 453 грн,"Солом'янський,",Політехнічний інститут,"{'lat': 50.4514016, 'lng': 30.468116}"
"вул. Сергія Колоса, 2",3 кімнати,72 м²,63 670 грн,"Печерський,",,"{'lat': 50.3922962, 'lng': 30.4575819}"
"вул. Академика Філатова, 53",3 кімнати,80 м²,41 198 грн,"Печерський,",,"{'lat': 50.41429, 'lng': 30.5324443}"
"вул. Панаса Мирного, 12",4 кімнати,169 м²,44 944 грн,"Печерський,",,"{'lat': 50.4333991, 'lng': 30.5417311}"
"вул. Саперне Поле, 3",3 кімнати,94 м²,78 652 грн,"Печерський,",Либідська,"{'lat': 50.4193434, 'lng': 30.530259}"
"пл. Льва Толстого, 11",5 кімнат,220 м²,74 906 грн,"Шевченківський,",,"{'lat': 50.4392224, 'lng': 30.5159643}"
"вул. Драгомирова, 18",2 кімнати,63 м²,41 198 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Драгомирова, 3",3 кімнати,85 м²,56 180 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}"
"вул. Панаса Мирного, 12",4 кімнати,165 м²,63 670 грн,"Печерський,",,"{'lat': 50.4333991, 'lng': 30.5417311}"
"вул. Предславинська, 40",4 кімнати,110 м²,82 397 грн,"Печерський,",,"{'lat': 50.4161335, 'lng': 30.525454}"
"вул. Заньковецької, 6",4 кімнати,220 м²,93 633 грн,"Печерський,",Хрещатик,"{'lat': 50.4469139, 'lng': 30.5251861}"
"вул. Драгомирова, 18",4 кімнати,180 м²,149 813 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Солом'янська, 15А",1 кімната,140 м²,48 689 грн,"Солом'янський,",,"{'lat': 50.424757, 'lng': 30.4783093}"
"вул. Коновальця Євгена, 26А",4 кімнати,130 м²,131 086 грн,"Печерський,",Дружби народів,"{'lat': 50.42695519999999, 'lng': 30.5307143}"
"просп. Володимира Івасюка, 12",4 кімнати,160 м²,37 453 грн,"Оболонський,",,"{'lat': 50.5024784, 'lng': 30.5142688}"
"вул. Драгомирова, 20А",2 кімнати,90 м²,45 000 грн,"Печерський,",Дружби народів,"{'lat': 50.41006110000001, 'lng': 30.5435423}"
"вул. Драгомирова, 20",3 кімнати,115 м²,46 816 грн,"Печерський,",Печерська,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 20",2 кімнати,90 м²,41 198 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Болсуновська, 23",2 кімнати,145 м²,44 944 грн,"Печерський,",,"{'lat': 50.4179355, 'lng': 30.5533801}"
"просп. Володимира Івасюка, 12Е",2 кімнати,99 м²,41 198 грн,"Оболонський,",,"{'lat': 50.5062773, 'lng': 30.5133144}"
"пл. Івана Франка, 11",3 кімнати,145 м²,168 539 грн,"Шевченківський,",,"{'lat': 50.4458861, 'lng': 30.5269106}"
"вул. Драгомирова, 15А",4 кімнати,150 м²,142 322 грн,"Печерський,",,"{'lat': 50.4083814, 'lng': 30.54588439999999}"
"вул. Драгомирова, 11",2 кімнати,67 м²,48 689 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Золотоустівська, 47-49",4 кімнати,127 м²,37 453 грн,"Шевченківський,",,"{'lat': 50.4529799, 'lng': 30.4862818}"
"вул. Саперне Поле, 3",3 кімнати,94 м²,78 652 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"вул. Патріса Лумумби, 11",2 кімнати,78 м²,37 453 грн,"Печерський,",,"{'lat': 50.4209277, 'lng': 30.5326337}"
"вул. Коновальця Євгена, 26А",3 кімнати,130 м²,131 086 грн,"Печерський,",,"{'lat': 50.42695519999999, 'lng': 30.5307143}"
"вул. Солом'янська, 15А",3 кімнати,140 м²,48 689 грн,"Солом'янський,",,"{'lat': 50.424757, 'lng': 30.4783093}"
"вул. Івана Мазепи, 14",2 кімнати,70 м²,37 453 грн,"Печерський,",,"{'lat': 50.4409595, 'lng': 30.5491242}"
"вул. Драгомирова, 17В",3 кімнати,115 м²,82 397 грн,"Печерський,",,"{'lat': 50.40750750000001, 'lng': 30.5446767}"
"пров. Лабораторний, 7",2 кімнати,76 м²,56 180 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Василя Тютюнника, 14/55",4 кімнати,126 м²,48 689 грн,"Печерський,",,"{'lat': 50.4268329, 'lng': 30.5213827}"
"вул. Драгомирова, 15А",2 кімнати,91 м²,74 906 грн,"Печерський,",,"{'lat': 50.4083814, 'lng': 30.54588439999999}"
"вул. Горького, 44",2 кімнати,64 м²,48 689 грн,"Голосіївський,",,"{'lat': 50.4336785, 'lng': 30.5131808}"
"вул. Патріса Лумумби, 11",2 кімнати,65 м²,37 453 грн,"Печерський,",,"{'lat': 50.4209277, 'lng': 30.5326337}"
"вул. Мічуріна, 54",2 кімнати,212 м²,131 086 грн,"Печерський,",,"{'lat': 50.42175599999999, 'lng': 30.5624783}"
"вул. Драгомирова, 18",4 кімнати,127 м²,67 416 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Василя Тютюнника, 51/2",3 кімнати,72 м²,41 198 грн,"Печерський,",,"{'lat': 50.4170334, 'lng': 30.528746}"
"вул. Ділова, 1/2",2 кімнати,55 м²,37 453 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Коновальця Євгена, 34",3 кімнати,127 м²,56 180 грн,"Печерський,",,"{'lat': 50.4267967, 'lng': 30.5344145}"
"вул. Драгомирова, 15",3 кімнати,83 м²,37 453 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 14",4 кімнати,160 м²,104 869 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Панаса Мирного, 17",4 кімнати,137 м²,50 562 грн,"Печерський,",,"{'lat': 50.4335661, 'lng': 30.5368535}"
"вул. Драгомирова, 15",3 кімнати,90 м²,59 925 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 16",1 кімната,115 м²,37 453 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}"
"вул. Маккейна Джона, 7",3 кімнати,72 м²,44 944 грн,"Печерський,",,"{'lat': 50.4159539, 'lng': 30.5306472}"
"вул. Звіринецька, 59",4 кімнати,200 м²,93 633 грн,"Печерський,",,"{'lat': 50.40776959999999, 'lng': 30.5552412}"
вул. Дмитрівська,4 кімнати,160 м²,104 869 грн,"Шевченківський,",,"{'lat': 50.4538219, 'lng': 30.4882207}"
вул. Льва Толстого,5 кімнат,228 м²,93 633 грн,"Шевченківський,",,"{'lat': 50.4413127, 'lng': 30.5049856}"
"вул. Горького, 44",3 кімнати,101 м²,131 086 грн,"Голосіївський,",,"{'lat': 50.4336785, 'lng': 30.5131808}"
вул. Бульварно-Кудрявська,3 кімнати,144 м²,89 888 грн,"Шевченківський,",,"{'lat': 50.4513764, 'lng': 30.4987808}"
вул. Олександра Мишуги,4 кімнати,124 м²,71 161 грн,"Дарницький,",,"{'lat': 50.3962449, 'lng': 30.6376297}"
вул. Тургенєвська,6 кімнат,265 м²,93 633 грн,"Печерський,",,"{'lat': 50.4519005, 'lng': 30.4912223}"
вул. Ковпака,4 кімнати,150 м²,74 906 грн,"Печерський,",,"{'lat': 50.4174912, 'lng': 30.5245535}"
"вул. Кудрявська, 45",1 кімната,52 м²,39 326 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.45897530000001, 'lng': 30.5035006}"
"вул. Раїси Окіпної, 18",2 кімнати,100 м²,54 307 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4479346, 'lng': 30.5886259}"
"вул. Академика Філатова, 53",2 кімнати,72 м²,26 217 грн,"Печерський,","Палац ""Україна""","{'lat': 50.41429, 'lng': 30.5324443}"
"вул. Драгомирова, 18",1 кімната,120 м²,56 180 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"Богомольца, 7/14",2 кімнати,89 м²,44 944 грн,"Печерський,",,"{'lat': 50.4501, 'lng': 30.5234}"
"вул. Драгомирова, 20",3 кімнати,90 м²,33 708 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Буслівська, 12",4 кімнати,146 м²,142 322 грн,"Печерський,",,"{'lat': 50.4073727, 'lng': 30.5566101}"
"просп. Володимира Івасюка, 24",5 кімнат,270 м²,63 670 грн,"Оболонський,",Героїв Дніпра,"{'lat': 50.5115776, 'lng': 30.5085657}"
"узвіз Кловський, 7",3 кімнати,159 м²,59 925 грн,",",Кловська,"{'lat': 50.4405345, 'lng': 30.5389159}"
"Ильенко Юрия, 18Б",3 кімнати,146 м²,93 633 грн,"Шевченківський,",,"{'lat': 50.46657949999999, 'lng': 30.47665569999999}"
"пл. Бессарабська, 5",3 кімнати,116 м²,112 360 грн,"Шевченківський,",Тараса Шевченка,"{'lat': 50.4428514, 'lng': 30.5223082}"
"Федорова, 2А",3 кімнати,100 м²,101 124 грн,"Печерський,",,"{'lat': 50.4288476, 'lng': 30.5199561}"
"вул. Клінічна, 28А",4 кімнати,215 м²,74 906 грн,"Солом'янський,",,"{'lat': 50.4181482, 'lng': 30.490207}"
"вул. Золотоворітська, 13",4 кімнати,176 м²,71 161 грн,"Шевченківський,",,"{'lat': 50.449694, 'lng': 30.514012}"
"вул. Богдана Хмельницького, 51А",3 кімнати,120 м²,93 633 грн,"Печерський,",Золоті ворота,"{'lat': 50.44784019999999, 'lng': 30.5007504}"
"вул. Кудрявська, 13-15",5 кімнат,200 м²,112 360 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.45810789999999, 'lng': 30.5005747}"
"вул. Раїси Окіпної, 18",4 кімнати,187 м²,104 869 грн,"Дніпровський,",,"{'lat': 50.4479346, 'lng': 30.5886259}"
"вул. Горького, 44",1 кімната,47 м²,59 925 грн,"Голосіївський,",,"{'lat': 50.4336785, 'lng': 30.5131808}"
"вул. Павлівська, 46",4 кімнати,180 м²,59 925 грн,"Шевченківський,",,"{'lat': 50.45187050000001, 'lng': 30.484599}"
"вул. Княжий Затон, 11",4 кімнати,210 м²,39 326 грн,"Дарницький,",,"{'lat': 50.4022101, 'lng': 30.6230209}"
"вул. Саперне Поле, 5",4 кімнати,200 м²,93 633 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Ольгинська, 5",3 кімнати,134 м²,131 086 грн,"Шевченківський,",Хрещатик,"{'lat': 50.4474743, 'lng': 30.5281276}"
"вул. Професора Підвисоцького, 4в",2 кімнати,55 м²,37 453 грн,"Печерський,",Дружби народів,"{'lat': 50.4155174, 'lng': 30.5488401}"
"вул. Горького, 44",3 кімнати,100 м²,93 633 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4336785, 'lng': 30.5131808}"
"просп. Правди, 45А",1 кімната,40 м²,15 730 грн,"Подільський,",,"{'lat': 50.5039711, 'lng': 30.4227586}"
"вул. Басейна, 10",3 кімнати,72 м²,20 000 грн,"Печерський,",Палац спорту,"{'lat': 50.440283, 'lng': 30.522222}"
"вул. Кахи Бендукідзе, 2",3 кімнати,75 м²,93 633 грн,"Печерський,",Дружби народів,"{'lat': 50.4110889, 'lng': 30.543127}"
"вул. Буслівська, 12",4 кімнати,150 м²,93 633 грн,"Печерський,",,"{'lat': 50.4073727, 'lng': 30.5566101}"
"вул. Глибочицька, 32А",4 кімнати,121 м²,74 906 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4615354, 'lng': 30.4932619}"
"Драгомирова ул., 1-20а",4 кімнати,155 м²,131 086 грн,"Печерський,",,"{'lat': 50.4133862, 'lng': 30.5466086}"
"вул. Патріса Лумумби, 12",2 кімнати,65 м²,44 944 грн,"Печерський,","Палац ""Україна""","{'lat': 50.41983380000001, 'lng': 30.5329927}"
"вул. Саперне Поле, 5",4 кімнати,175 м²,168 539 грн,"Печерський,",,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Горького, 44",1 кімната,47 м²,33 708 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4336785, 'lng': 30.5131808}"
"вул. Набережно-Рибальська, 28",3 кімнати,105 м²,31 835 грн,"Подільський,",Оболонь,"{'lat': 50.4800698, 'lng': 30.5374992}"
"просп. Володимира Івасюка, 18А",3 кімнати,130 м²,29 963 грн,"Оболонський,",Мінська,"{'lat': 50.50975, 'lng': 30.509317}"
"наб. Дніпровська, 14f",2 кімнати,86 м²,37 453 грн,"Дарницький,",Осокорки,"{'lat': 50.4184176, 'lng': 30.5929489}"
"просп. Оболонський, 26",3 кімнати,90 м²,93 633 грн,"Оболонський,",Мінська,"{'lat': 50.48630439999999, 'lng': 30.4982291}"
"вул. Володимирська, 49А",4 кімнати,209 м²,74 906 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4475103, 'lng': 30.5145147}"
"вул. Звіринецька, 59",4 кімнати,161 м²,67 416 грн,"Печерський,",Видубичі,"{'lat': 50.40776959999999, 'lng': 30.5552412}"
"вул. Старонаводницька, 13",4 кімнати,170 м²,37 453 грн,"Печерський,",Печерська,"{'lat': 50.42676059999999, 'lng': 30.54283329999999}"
"вул. Звіринецька, 59",4 кімнати,180 м²,74 906 грн,"Печерський,",Видубичі,"{'lat': 50.40776959999999, 'lng': 30.5552412}"
"вул. Хрещатик, 15",3 кімнати,100 м²,46 816 грн,"Печерський,",Майдан Незалежності,"{'lat': 50.4476282, 'lng': 30.5256784}"
"вул. Предславинська, 42А",1 кімната,43 м²,29 925 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Набережно-Рибальська, 3,9",1 кімната,50 м²,37 453 грн,"Подільський,",Поштова площа,"{'lat': 50.4796944, 'lng': 30.5348749}"
"вул. Академика Філатова, 2/1",1 кімната,72 м²,35 581 грн,"Печерський,",,"{'lat': 50.4182169, 'lng': 30.5295358}"
"бул. Дружби Народів, 14-16",3 кімнати,85 м²,44 944 грн,"Печерський,",Дружби народів,"{'lat': 50.41403649999999, 'lng': 30.5394589}"
"вул. Антоновича, 72",3 кімнати,100 м²,29 963 грн,"Печерський,",Олімпійська,"{'lat': 50.42658549999999, 'lng': 30.514141}"
"вул. Маккейна Джона, 7",2 кімнати,45 м²,52 434 грн,"Печерський,",Либідська,"{'lat': 50.4159539, 'lng': 30.5306472}"
"вул. Антоновича, 109",3 кімнати,87 м²,56 180 грн,"Голосіївський,","Палац ""Україна""","{'lat': 50.4228775, 'lng': 30.5171182}"
"вул. Маккейна Джона, 26",2 кімнати,60 м²,33 708 грн,"Печерський,",Дружби народів,"{'lat': 50.4184533, 'lng': 30.5392407}"
"вул. Панаса Мирного, 17",4 кімнати,140 м²,54 000 грн,"Печерський,",Кловська,"{'lat': 50.4335661, 'lng': 30.5368535}"
"вул. Драгомирова, 18",3 кімнати,90 м²,52 434 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Деміївська, 13",3 кімнати,80 м²,37 453 грн,"Голосіївський,",Деміївська,"{'lat': 50.4038045, 'lng': 30.5138064}"
"вул. Микільсько-Слобідська, 3Б",2 кімнати,80 м²,37 453 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4500655, 'lng': 30.5864166}"
"вул. Гоголівська, 14",2 кімнати,90 м²,52 434 грн,"Шевченківський,",Університет,"{'lat': 50.450025, 'lng': 30.497007}"
"наб. Дніпровська, 14Б",3 кімнати,140 м²,67 416 грн,"Дарницький,",Осокорки,"{'lat': 50.4184176, 'lng': 30.5929489}"
"бул. Лесі Українки, 7Б",3 кімнати,135 м²,33 708 грн,"Печерський,",Кловська,"{'lat': 50.43268639999999, 'lng': 30.5334457}"
"вул. Ділова, 1/2",2 кімнати,50 м²,52 434 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}"
"наб. Дніпровська, 18",5 кімнат,165 м²,67 416 грн,"Дарницький,",Осокорки,"{'lat': 50.3986819, 'lng': 30.6146742}"
"вул. Звіринецька, 59",3 кімнати,162 м²,112 360 грн,"Печерський,",Видубичі,"{'lat': 50.40776959999999, 'lng': 30.5552412}"
"вул. Драгомирова, 18",3 кімнати,115 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Митрополита Василя Липківського, 37Г",3 кімнати,80 м²,37 453 грн,"Солом'янський,",Вокзальна,"{'lat': 50.4303712, 'lng': 30.4758501}"
"вул. Зарічна, 3А",3 кімнати,82 м²,35 000 грн,"Дарницький,",,"{'lat': 50.3968662, 'lng': 30.6000385}"
"вул. Предславинська, 42А",2 кімнати,63 м²,37 453 грн,,,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Саксаганського, 37К",2 кімнати,64 м²,44 944 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4354538, 'lng': 30.5125045}"
"вул. Саксаганського, 37К",2 кімнати,67 м²,37 453 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4354538, 'lng': 30.5125045}"
"вул. Ольгинська, 5",3 кімнати,134 м²,112 360 грн,"Печерський,",Хрещатик,"{'lat': 50.4474743, 'lng': 30.5281276}"
"вул. Звіринецька, 59",5 кімнат,250 м²,67 416 грн,"Печерський,",Видубичі,"{'lat': 50.40776959999999, 'lng': 30.5552412}"
"вул. Ділова, 4",5 кімнат,230 м²,93 633 грн,"Печерський,",Олімпійська,"{'lat': 50.4301685, 'lng': 30.520619}"
"вул. Василя Тютюнника, 51/2",1 кімната,55 м²,26 217 грн,"Печерський,",Либідська,"{'lat': 50.4170334, 'lng': 30.528746}"
"вул. Маккейна Джона, 7",2 кімнати,60 м²,29 963 грн,"Печерський,",Либідська,"{'lat': 50.4159539, 'lng': 30.5306472}"
"бул. Тараса Шевченка, 33Б",5 кімнат,260 м²,74 906 грн,"Шевченківський,",Університет,"{'lat': 50.4456038, 'lng': 30.495987}"
"бул. Дружби Народів, 14-16",3 кімнати,120 м²,36 500 грн,"Печерський,",Дружби народів,"{'lat': 50.41403649999999, 'lng': 30.5394589}"
"вул. Коновальця Євгена, 26А",3 кімнати,130 м²,131 086 грн,"Печерський,",Печерська,"{'lat': 50.42695519999999, 'lng': 30.5307143}"
"вул. Деміївська, 62",2 кімнати,63 м²,31 835 грн,"Голосіївський,",Деміївська,"{'lat': 50.3987853, 'lng': 30.4995792}"
"вул. Круглоуніверситетська, 3-5",4 кімнати,180 м²,63 670 грн,"Печерський,",Хрещатик,"{'lat': 50.4432141, 'lng': 30.5231577}"
